,state,name,twitter_handle
0,AK ,Lisa Murkowski ,@lisamurkowski
1,AK ,Dan Sullivan ,@SenDanSullivan
2,AL ,Doug Jones ,@SenDougJones
3,AL ,Richard C. Shelby ,@SenShelby
4,AR ,John Boozman ,@JohnBoozman
5,AR ,Tom Cotton ,@SenTomCotton
6,AZ ,Martha McSally ,@SenMcSallyAZ
7,AZ ,Kyrsten Sinema ,@SenatorSinema
8,CA ,Dianne Feinstein ,@SenFeinstein
9,CA ,Kamala D. Harris ,@SenKamalaHarris
10,CO ,Michael F. Bennet ,@SenatorBennet
11,CO ,Cory Gardner ,@SenCoryGardner
12,CT ,Richard Blumenthal ,@SenBlumenthal
13,CT ,Christopher Murphy ,@SenMurphyOffice
14,DE ,Thomas R. Carper ,@SenatorCarper
15,DE ,Christopher A. Coons ,@ChrisCoons
16,FL ,Marco Rubio ,@SenRubioPress
17,FL ,Rick Scott ,@SenRickScott
18,GA ,Johnny Isakson ,@SenatorIsakson
19,GA ,David Perdue ,@sendavidperdue
20,HI ,Mazie K. Hirono ,@maziehirono
21,HI ,Brian Schatz ,@SenBrianSchatz
22,IA ,Joni Ernst ,@SenJoniErnst
23,IA ,Chuck Grassley ,@ChuckGrassley
24,ID ,Mike Crapo ,@MikeCrapo
25,ID ,James E. Risch ,@SenatorRisch
26,IL ,Tammy Duckworth ,@SenDuckworth
27,IL ,Richard J. Durbin ,@SenatorDurbin
28,IN ,Mike Braun ,@SenatorBraun
29,IN ,Todd Young ,@SenToddYoung
30,KS ,Jerry Moran ,@JerryMoran
31,KS ,Pat Roberts ,@SenPatRoberts
32,KY ,Mitch McConnell ,@SenateMajLdr
33,KY ,Rand Paul ,@RandPaul
34,LA ,Bill Cassidy ,@SenBillCassidy
35,LA ,John Kennedy ,@SenJohnKennedy
36,MA ,Edward J. Markey ,@SenMarkey
37,MA ,Elizabeth Warren ,@SenWarren
38,MD ,Benjamin L. Cardin ,@SenatorCardin
39,MD ,Chris Van Hollen ,@ChrisVanHollen
40,ME ,Susan M. Collins ,@SenatorCollins
41,ME ,Angus S. King Jr. ,@SenAngusKing
42,MI ,Gary C. Peters ,@SenGaryPeters
43,MI ,Debbie Stabenow ,@SenStabenow
44,MN ,Amy Klobuchar ,@SenAmyKlobuchar
45,MN ,Tina Smith ,@SenTinaSmith
46,MO ,Roy Blunt ,@RoyBlunt
47,MO ,Josh Hawley ,@SenHawleyPress
48,MS ,Cindy Hyde-Smith ,@SenHydeSmith
49,MS ,Roger F. Wicker ,@SenatorWicker
50,MT ,Steve Daines ,@SteveDaines
51,MT ,Jon Tester ,@SenatorTester
52,NC ,Richard Burr ,@SenatorBurr
53,NC ,Thom Tillis ,@SenThomTillis
54,ND ,Kevin Cramer ,@SenKevinCramer
55,ND ,John Hoeven ,@SenJohnHoeven
56,NE ,Deb Fischer ,@SenatorFischer
57,NE ,Ben Sasse ,@SenSasse
58,NH ,Margaret Wood Hassan ,@SenatorHassan
59,NH ,Jeanne Shaheen ,@SenatorShaheen
60,NJ ,Cory A. Booker ,@SenBooker
61,NJ ,Robert Menendez ,@SenatorMenendez
62,NM ,Martin Heinrich ,@MartinHeinrich
63,NM ,Tom Udall ,@SenatorTomUdall
64,NV ,Catherine Cortez Masto ,@SenCortezMasto
65,NV ,Jacky Rosen ,@SenJackyRosen
66,NY ,Kirsten E. Gillibrand ,@gillibrandny
67,NY ,Charles E. Schumer ,@SenSchumer
68,OH ,Sherrod Brown ,@SenSherrodBrown
69,OH ,Rob Portman ,@senrobportman
70,OK ,James M. Inhofe ,@JimInhofe
71,OK ,James Lankford ,@SenatorLankford
72,OR ,Jeff Merkley ,@SenJeffMerkley
73,OR ,Ron Wyden ,@RonWyden
