,congress,chamber,bioguide,last_name,state_x,district,party,votes,agree_pct,predicted_agree,net_trump_vote,Unnamed: 0,state_y,name,twitter_handle
0,116,house,A000055,Aderholt,AL,4.0,R,84.0,0.9761904761904759,0.94419563,63.0,104,AL-04,Robert Aderholt,@Robert_Aderholt
1,116,house,A000367,Amash,MI,3.0,R,2.0,1.0,0.59582585,9.4,301,MI-03,Justin Amash,@justinamash
2,116,house,A000369,Amodei,NV,2.0,R,85.0,0.917647058823529,0.71157329,12.3,368,NV-02,Mark Amodei,@MarkAmodeiNV2
3,116,house,A000370,Adams,NC,12.0,D,88.0,0.0568181818181818,0.06785155,-40.0,344,NC-12,Alma Adams,@RepAdams
4,116,house,A000371,Aguilar,CA,31.0,D,87.0,0.0689655172413793,0.08295356,-21.1,151,CA-31,Pete Aguilar,@RepPeteAguilar
5,116,house,A000372,Allen,GA,12.0,R,89.0,0.9550561797752809,0.80872198,16.2,226,GA-12,Rick Allen,@RepRickAllen
6,116,house,A000374,Abraham,LA,5.0,R,51.0,0.980392156862745,0.94234264,29.4,278,LA-05,Ralph Lee Abraham,@RepAbraham
7,116,house,A000375,Arrington,TX,19.0,R,88.0,0.954545454545455,0.93520171,49.0,478,TX-19,Jodey Arrington,@RepArrington
8,116,house,A000376,Allred,TX,32.0,D,88.0,0.0795454545454545,0.21290021,-1.9,491,TX-32,Colin Allred,@RepColinAllred
9,116,house,A000377,Armstrong,ND,0.0,R,87.0,0.908045977011494,0.9273315000000001,35.72888837,346,ND - ,Kelly Armstrong,@RepArmstrongND
10,116,house,A000378,Axne,IA,3.0,D,89.0,0.0898876404494382,0.37315719,3.5,233,IA-03,Cynthia Axne,@RepCindyAxne
11,116,house,B000490,Bishop,GA,2.0,D,87.0,0.0689655172413793,0.10398764,-11.7,216,GA-02,Sanford Bishop,@SanfordBishop
12,116,house,B000490,Bishop,GA,2.0,D,87.0,0.0689655172413793,0.10398764,-11.7,496,UT-01,Rob Bishop,@RepRobBishop
13,116,house,B001250,Bishop,UT,1.0,R,79.0,0.949367088607595,0.93721999,27.3,216,GA-02,Sanford Bishop,@SanfordBishop
14,116,house,B001250,Bishop,UT,1.0,R,79.0,0.949367088607595,0.93721999,27.3,496,UT-01,Rob Bishop,@RepRobBishop
