variable,label,value_labels,scale,subscale,keying,links
id,ID Number,numeric,NA,NA,NA,NA
age,Age of participant,numeric,NA,NA,NA,NA
sex,Sex of participant,1. Male 2. Female,NA,NA,NA,NA
cognitive_task,IV1: Cognitive Task,1. Pray 2. Think,NA,NA,NA,NA
physical_position,IV2: Physical Position,1. Kneeling 2. Standing,NA,NA,NA,NA
nfc_total,Need for Cognition - Total Score,numeric,NA,NA,NA,NA
fii_total,Faith in Intuition - Total Score,numeric,NA,NA,NA,NA
time_on_crt,Time spent on CRT Questions,numeric,NA,NA,NA,NA
crt_total,Number of Correct Answers on the Cognitive Reflection Test,numeric,NA,NA,NA,NA
belief_in_god,Do you believe in God?,0. No 1. Yes,Religious Questions,NA,NA,NA
certainty_of_belief_in_god,"In regards to your stated belief or unbelief in God, how certain are you?",1. Very Uncertain 2. Uncertain 3. Moderately Uncertain 4. Neutral 5. Moderately Certain 6. Certain 7. Very Certain,Religious Questions,NA,NA,NA
frequency_of_prayer,How often do you usually pray?,1. Never 2. Rarely 3. Monthly 4. Weekly 5. Daily 6. Multiple Times Daily,Religious Questions,NA,NA,NA
duration_of_prayer,What is the average time that you usually pray?,1. 1-30 Seconds 2. 31-60 Seconds 3. 1-2 Minutes 4. 2-3 Minutes 5. 3-4 Minutes 6. 4-5 Minutes 7. 5-6 Minutes 8. 7-8 Minutes 9. 8-9 Minutes,Religious Questions,NA,NA,NA
frequency_of_religious_services,How often do you attend religious services?,1. Never 2. Very Rarely 3. Rarely 4. Occasionally 5. Very Frequently 6. Always,Religious Questions,NA,NA,NA
religious_denomination,What is your religious denomination?,Textual response,Religious Questions,NA,NA,NA
denomination,I coded denomination,1. Christian 2. None 3. Atheist/Agnostic 4. Other,Religious Questions,NA,NA,NA
engagement_in_cognitive_task,What proportion of the five minute period did you engage in the task?,1. Not at all 2. Around one minute 3. Around two and a half minutes 4. Around four minutes 5. The entire 5 minutes.,NA,NA,NA,NA
