id,condition,duration,dem_gender,dem_age,dem_employment,dem_income,dem_education,dem_religion,dem_religion_12_TEXT,dem_religious,dem_party,dem_party_4_TEXT,dem_ethnicity,dem_ethnicity_8_TEXT,dem_marriage,dem_orientation,dem_orientation_4_TEXT,letter_timing_first_click,letter_timing_last_click,letter_timing_page_submit,letter_timing_click_count,pti_ii_religion,pti_ii_politics,pti_ii_gender,pti_ii_orientation,pti_ii_age,pti_ii_race,pti_ii_family,pti_ii_profession,pti_ii_other_label,pti_ii_other,pti_ii_rank_order_1,pti_ii_rank_order_2,pti_ii_rank_order_3,pti_ii_rank_order_4,pti_ii_rank_order_5,pti_ii_rank_order_6,pti_ii_rank_order_7,pti_ii_rank_order_8,pti_ii_rank_order_9,pti_1,pti_2,pti_3,pti_4,pti_5,pti_6,attention_check_1,pti_7,pti_8,pti_9,pti_10,pti_11,pti_12,nfc_1,nfc_2,nfc_3,nfc_4,nfc_5,nfc_6,nfc_7,nfc_8,attention_check_2,nfc_9,nfc_10,nfc_11,nfc_12,nfc_13,nfc_14,nfc_15,cm_1,cm_2,cm_3,cm_4,cm_5,crt_1,crt_2,crt_3,attention_check_crt,pol_att_01,pol_att_02,pol_att_03,pol_att_04,pol_att_05,pol_att_06,pol_att_07,pol_att_08,pol_att_09,pol_att_10,pol_att_11,Fake1_2,Fake1_RT_first_click,Fake1_RT_last_click,Fake1_RT_page_submit,Fake1_RT_click_count,Fake2_2,Fake2_RT_first_click,Fake2_RT_last_click,Fake2_RT_page_submit,Fake2_RT_click_count,Fake3_2,Fake3_RT_first_click,Fake3_RT_last_click,Fake3_RT_page_submit,Fake3_RT_click_count,Fake4_2,Fake4_RT_first_click,Fake4_RT_last_click,Fake4_RT_page_submit,Fake4_RT_click_count,Fake5_2,Fake5_RT_first_click,Fake5_RT_last_click,Fake5_RT_page_submit,Fake5_RT_click_count,Fake6_2,Fake6_RT_first_click,Fake6_RT_last_click,Fake6_RT_page_submit,Fake6_RT_click_count,Fake7_2,Fake7_RT_first_click,Fake7_RT_last_click,Fake7_RT_page_submit,Fake7_RT_click_count,Fake8_2,Fake8_RT_first_click,Fake8_RT_last_click,Fake8_RT_page_submit,Fake8_RT_click_count,Fake9_2,Fake9_RT_first_click,Fake9_RT_last_click,Fake9_RT_page_submit,Fake9_RT_click_count,Fake10_2,Fake10_RT_first_click,Fake10_RT_last_click,Fake10_RT_page_submit,Fake10_RT_click_count,Fake11_2,Fake11_RT_first_click,Fake11_RT_last_click,Fake11_RT_page_submit,Fake11_RT_click_count,Fake12_2,Fake12_RT_first_click,Fake12_RT_last_click,Fake12_RT_page_submit,Fake12_RT_click_count,Real1_2,Real1_RT_first_click,Real1_RT_last_click,Real1_RT_page_submit,Real1_RT_click_count,Real2_2,Real2_RT_first_click,Real2_RT_last_click,Real2_RT_page_submit,Real2_RT_click_count,Real3_2,Real3_RT_first_click,Real3_RT_last_click,Real3_RT_page_submit,Real3_RT_click_count,Real4_2,Real4_RT_first_click,Real4_RT_last_click,Real4_RT_page_submit,Real4_RT_click_count,Real5_2,Real5_RT_first_click,Real5_RT_last_click,Real5_RT_page_submit,Real5_RT_click_count,Real6_2,Real6_RT_first_click,Real6_RT_last_click,Real6_RT_page_submit,Real6_RT_click_count,Real7_2,Real7_RT_first_click,Real7_RT_last_click,Real7_RT_page_submit,Real7_RT_click_count,Real8_2,Real8_RT_first_click,Real8_RT_last_click,Real8_RT_page_submit,Real8_RT_click_count,Real9_2,Real9_RT_first_click,Real9_RT_last_click,Real9_RT_page_submit,Real9_RT_click_count,Real10_2,Real10_RT_first_click,Real10_RT_last_click,Real10_RT_page_submit,Real10_RT_click_count,Real11_2,Real11_RT_first_click,Real11_RT_last_click,Real11_RT_page_submit,Real11_RT_click_count,Real12_2,Real12_RT_first_click,Real12_RT_last_click,Real12_RT_page_submit,Real12_RT_click_count,pdiFirst,perceived_threat_to_identity_total,conspiracy_mentality_total,conservative_political_beliefs_total,need_for_closure_total,importance_of_identity_total,cognitive_reflection_test_total,belief_in_fake_news_total,belief_in_real_news_total
1,Raelian Threat,1736,Male,18,A student,"$80,000 to $89,999","Some college credit, but less than 1 year",Christian,NA,Yes,Republican,NA,White,NA,Never married,Heterosexual or straight,NA,1.614,234.661,236.304,2,4,2,6,4,4,4,6,5,N/A,7,3,5,7,8,4,6,1,2,9,5,2,4,7,3,5,7,5,4,3,1,5,7,2,4,5,4,3,4,5,6,6,6,1,4,6,6,2,1,5,9,10,7,7,10 cents,5 minutes,47 days,999,2,4,1,3,4,4,4,5,75,45,100,1,5.581,6.303,7.815,2,1,10.486,10.486,11.724,1,2,3.355,3.355,5.827,1,2,9.419,9.419,15.535,1,1,8.802,8.802,10.008,1,2,10.452,10.452,12.708,1,3,6.748,16.894,17.921,2,2,5.447,5.447,10.343,1,2,6.079,6.079,8.313,1,1,8.55,8.55,9.371,1,2,11.459,11.459,13.389,1,1,5.879,8.56,8.975,3,3,16.134,16.134,17.233,1,3,12.943,14.834,15.8,3,3,10.137,11.067,12.065,2,2,8.748,9.905,10.437,2,3,6.828,6.828,11.646,1,3,4.88,9.847,12.619,4,2,4.195,4.195,6.618,1,2,10.783,10.783,20.098,1,2,12.506,12.506,19.264,1,2,9.354,11.371,11.889,2,2,12.796,13.331,16.704,2,2,10.115,11.411,12.796,2,0,4.5,7.6,0.766880304,3.933333333,4.375,2,20,29
2,Raelian Threat,1243,Female,22,A student,"Less than $10,000",High school graduate - high school diploma or the equivalent (for example: GED),Christian,NA,Yes,Other,n/a,Black or African American,NA,Never married,Heterosexual or straight,NA,1.278,200.736,202.166,4,3,1,6,4,5,6,6,6,n/a,7,6,8,4,7,5,2,1,3,9,6,1,4,6,6,1,7,6,5,1,1,6,7,4,1,6,4,1,6,6,6,6,4,2,2,5,5,1,4,11,11,9,11,11,10 cent,1 hour,24 days,999,1,5,1,4,1,4,3,2,50,77,63,1,4.934,4.934,6.052,1,1,3.7,3.7,5.032,1,2,2.552,2.552,3.342,1,1,8.943,8.943,10.702,1,1,5.12,6.545,7.641,2,2,2.459,3.498,5.891,2,4,5.718,7.015,8.592,2,3,5.643,5.643,6.768,1,1,11.158,11.158,13.233,1,4,3.96,3.96,4.839,1,2,2.039,2.039,2.969,1,2,4.837,4.837,5.786,1,2,4.565,4.565,5.506,1,1,4.801,4.801,8.521,1,2,4.551,4.551,5.808,1,3,2.492,2.492,3.471,1,2,2.445,2.445,3.287,1,3,3.345,3.345,4.034,1,2,2.402,3.292,3.676,2,2,6.301,6.301,7.65,1,3,6.065,6.065,8.161,1,2,7.342,7.342,8.193,1,3,5.437,6.577,8.758,2,1,5.084,5.084,7.301,1,1,4.3,10.6,0.244997072,4.466666667,4.625,0,24,26
3,Non-religious Threat,1725,Female,19,A student,"$40,000 to $49,999","1 or more years of college, no degree",Protestant,NA,Yes,Independent,NA,White,NA,Never married,Heterosexual or straight,NA,140.946,185.523,192.788,3,5,4,5,5,5,5,5,5,N/A,7,1,7,3,6,5,8,2,4,9,5,5,2,5,5,4,7,4,5,5,3,5,4,5,2,3,5,3,4,5,4,6,3,4,5,5,4,3,4,10,9,8,9,10,$1.05,5 minutes,47 days,999,1,3,1,3,2,3,3,2,30,20,50,2,13.892,13.892,15.304,1,3,27.003,27.003,28.344,1,1,8.5,8.5,10.083,1,2,25.246,25.246,27.687,1,1,6.698,6.698,8.192,1,2,6.388,8.269,9.298,2,3,6.804,8.171,9.299,2,3,8.304,9.005,10.024,2,3,14.356,14.356,15.58,1,3,9.295,9.295,11.737,1,2,14.054,14.054,15.774,1,3,16.999,16.999,18.316,1,4,10.236,11.028,11.797,2,3,20.663,20.663,24.036,1,4,17.073,17.073,18.131,1,3,17.007,17.007,18.064,1,3,7.367,7.367,8.264,1,3,5.039,6.356,7.51,2,3,13.427,13.427,14.265,1,3,14.657,14.657,17.169,1,2,8.082,8.538,10.683,2,2,18.051,18.605,19.506,2,3,21.74,21.74,22.856,1,2,17.61,19.213,20.061,2,0,4.2,9.2,-0.368827777,4.133333333,4.875,2,28,35
4,Religious Threat,1263,Female,21,A student,"Less than $10,000","1 or more years of college, no degree",Other,Non-denominational,No,Other,Moderate,White,NA,Never married,Heterosexual or straight,NA,208.456,208.456,209.871,1,2,3,6,6,6,5,5,5,N/A,5,8,7,1,2,3,6,5,4,9,4,2,2,2,6,2,7,5,2,2,1,4,5,4,5,6,4,2,4,4,4,6,4,5,5,5,4,2,4,10,7,4,6,6,0.1,100,24,999,4,3,1,1,4,3,2,4,50,60,30,1,5.974,6.815,10.169,2,2,6.871,6.871,8.248,1,1,2.623,2.623,8.327,1,2,13.291,14.09,14.47,2,2,7.78,7.78,8.601,1,3,5.378,5.378,6.048,1,3,7.705,7.705,8.596,1,3,12.996,17.787,18.687,2,1,7.989,8.879,23.34,2,2,12.03,12.623,13.859,2,2,11.06,11.06,11.9,1,1,7.554,7.554,9.116,1,3,9.661,10.582,11.281,2,3,9.562,10.601,11.471,3,2,5.848,5.848,6.629,1,3,7.994,7.994,9.181,1,2,12.851,12.851,13.918,1,3,6.873,6.873,7.592,1,3,7.192,7.192,8.565,1,3,16.819,16.819,18.223,1,2,15.4,15.4,16.486,1,1,10.33,13.103,13.961,3,2,9.102,9.102,10.157,1,2,15.222,15.222,16.299,1,0,2.9,6.6,-0.015237576,4.2,4.75,0,23,29
5,Religious Threat,1141,Female,21,A student,"Less than $10,000","1 or more years of college, no degree",Christian,NA,No,Republican,NA,White,NA,Never married,Bisexual,NA,229.504,229.504,230.738,1,2,2,4,3,5,2,6,5,N/A,7,7,8,5,4,3,6,1,2,9,5,6,3,6,6,6,7,5,6,4,6,5,5,4,6,2,5,4,5,5,6,6,6,3,4,5,5,5,5,10,11,6,8,9,$0.10,100 minutes,47 days,999,5,3,1,3,5,5,4,5,90,85,95,1,4.472,4.472,5.611,1,4,11.567,11.567,12.586,1,2,5.541,5.541,6.559,1,4,11.163,11.163,13.497,1,2,5.249,5.249,7.238,1,4,3.965,3.965,5.418,1,1,10.63,10.63,12.576,1,1,18.637,18.637,19.905,1,1,7.328,7.328,8.337,1,2,13.542,13.542,14.631,1,1,8.307,8.307,9.818,1,1,5.858,5.858,6.934,1,2,9.357,9.357,10.532,1,4,6.881,6.881,8.138,1,4,6.616,6.616,7.78,1,4,5.103,5.103,6.726,1,4,3.4,3.4,5.29,1,4,7.381,7.381,8.496,1,3,9.625,9.625,10.594,1,3,13.843,13.843,14.753,1,1,8.018,8.018,9.424,1,1,10.253,10.253,11.445,1,4,9.549,10.756,11.981,2,2,19.146,19.146,20.124,1,1,5.3,8.8,1.182755569,4.6,3.625,1,24,36
6,Raelian Threat,1176,Female,19,A student,"$100,000 to $149,999",High school graduate - high school diploma or the equivalent (for example: GED),Christian,NA,Yes,Independent,NA,White,NA,Never married,Heterosexual or straight,NA,212.54,212.54,214.108,1,5,4,4,5,3,4,3,5,NA,7,1,7,3,2,4,5,8,6,9,1,1,2,2,5,2,7,2,4,1,1,3,2,6,4,6,5,5,6,6,5,6,5,4,4,6,6,3,6,11,9,8,5,9,$0.05,100 minutes,47,999,1,5,1,1,2,4,3,3,37,10,75,2,5.288,5.288,6.899,1,2,16.284,16.284,17.122,1,3,2.703,2.703,3.79,1,2,11.295,11.295,12.491,1,1,5.781,5.781,7.283,1,2,6.697,6.697,7.983,1,1,6.294,6.294,7.458,1,2,5.663,5.663,7.056,1,1,7.257,7.257,8.335,1,2,5.671,5.671,6.679,1,1,9.604,9.604,11.701,1,1,5.324,5.324,6.531,1,3,3.8,3.8,4.572,1,2,5.19,5.19,6.268,1,4,3.967,3.967,4.997,1,3,4.745,4.745,5.83,1,3,4.285,4.285,5.441,1,3,5.959,5.959,6.71,1,3,8.173,8.173,9.054,1,2,3.251,3.251,4.377,1,2,11.641,11.641,12.671,1,2,14.142,14.142,15.567,1,4,6.769,6.769,7.794,1,3,12.256,12.256,13.472,1,0,2,8.4,-0.084118669,5.066666667,4.125,2,20,34
7,Non-religious Threat,929,Female,19,A student,"$90,000 to $99,999","1 or more years of college, no degree",Agnostic,NA,Yes,Independent,NA,White,NA,Never married,Heterosexual or straight,NA,26.496,139.035,140.265,6,3,4,4,4,2,4,6,6,I care a lot about my perception to others (not sure what identity that would be labeled as).,6,9,5,6,8,4,7,1,2,3,2,3,1,2,2,1,7,3,1,1,1,1,3,6,4,3,6,2,6,6,6,6,1,1,2,6,6,1,6,11,4,1,7,11,0.1,100,24,999,1,4,1,1,3,2,4,4,29,0,59,1,2.501,2.501,3.641,1,1,3.786,5.271,5.634,2,1,5.559,5.559,6.465,1,1,11.269,11.269,12.751,1,1,4.311,4.311,5.478,1,3,4.294,8.58,9.47,4,1,9.954,9.954,10.873,1,2,6.076,6.076,6.976,1,1,9.13,11.02,12.026,2,1,2.889,8.57,8.954,4,3,7.982,9.496,10.393,2,1,4.349,4.349,5.444,1,3,5.15,5.15,6.033,1,1,2.372,4.184,4.704,3,2,4.718,7.826,8.585,2,4,2.609,2.609,3.292,1,4,3.207,3.207,4.4,1,4,4.937,4.937,5.568,1,4,0.332,0.332,1.27,1,4,1.236,1.236,1.858,1,4,2.479,3.622,4.1,3,4,6.936,6.936,8.101,1,2,6.677,7.696,8.122,2,3,1.571,2.478,3.435,2,1,1.8,6.8,-0.253303321,4.266666667,4.125,0,17,39
8,Non-religious Threat,2052,Male,53,Employed for wages,"$100,000 to $149,999","Associate degree (for example: AA, AS)",Agnostic,NA,No,Independent,NA,American Indian or Alaska Native,NA,Divorced,Heterosexual or straight,NA,258.457,258.457,260.339,1,2,2,1,2,2,1,1,1,N/A,7,5,4,6,7,3,8,1,2,9,1,1,1,5,1,1,7,2,5,1,1,2,5,3,4,4,2,3,1,4,2,6,4,4,5,2,2,2,2,10,8,4,2,3,0.1,100 minutes,12,999,2,4,1,4,5,2,5,5,60,40,80,1,6.949,6.949,10.137,1,2,23.325,23.325,24.848,1,1,8.368,8.368,10.337,1,1,19.43,19.43,21.15,1,3,17.594,17.594,18.732,1,1,22.477,22.477,24.045,1,1,11.09,11.09,13.05,1,1,10.137,14.6,15.508,3,1,24.583,24.583,26.165,1,2,14.069,14.069,15.79,1,1,16.938,16.938,19.086,1,2,20.891,20.891,23.097,1,4,19.977,23.075,24.253,2,2,30.175,30.68,33.806,2,2,19.657,23.537,27.88,3,3,16.446,16.446,17.523,1,3,24.796,26.004,27.548,2,4,5.497,5.497,6.505,1,4,9.324,10.666,11.331,2,4,11.324,11.324,12.461,1,1,22.375,22.375,25.174,1,1,22.771,23.762,25.334,2,3,12.038,12.038,14.016,1,2,19.117,19.117,20.351,1,1,2.4,5.4,0.674170557,3.266666667,1.5,0,17,33
9,Religious Threat,1599,Female,20,A student,"$20,000 to $29,999","1 or more years of college, no degree",Other,Not religious,No,Other,Not sure,White,NA,Never married,Heterosexual or straight,NA,54.546,241.372,242.62,5,1,2,1,1,1,1,1,3,N/A,7,3,2,4,5,7,6,8,1,9,1,1,1,1,1,1,7,1,1,1,1,1,1,3,4,5,2,4,5,6,4,6,2,3,3,6,6,2,3,7,7,4,6,9,0.1,100,24,999,4,3,1,2,3,3,3,3,50,50,50,1,14.76,14.76,19.401,1,1,4.877,4.877,9.775,1,1,7.076,7.076,8.459,1,1,12.827,13.778,14.152,2,1,6.267,7.504,9.571,2,3,7.131,7.131,8.25,1,2,7.394,8.433,8.738,3,2,12.612,12.959,14.216,2,3,10.054,117.395,118.182,7,1,17.677,17.677,23.645,1,1,9.648,11.459,13.16,2,1,6.489,6.489,7.526,1,3,12.868,12.868,15.804,1,3,5.427,5.427,6.527,1,3,5.943,5.943,9.019,1,3,8.782,16.551,17.787,4,2,8.706,9.273,10.282,2,1,21.794,21.794,24.217,1,3,9.771,9.771,10.758,1,3,28.28,29.29,30.14,2,1,10.47,10.47,11.765,1,3,9.149,9.584,10.651,2,1,15.746,15.746,18.367,1,3,15.642,15.642,17.301,1,0,1,6.6,0.052208603,3.733333333,1.375,0,18,29
10,Raelian Threat,1185,Female,20,Employed for wages,"$100,000 to $149,999","1 or more years of college, no degree",Catholic,NA,No,Democrat,NA,White,NA,Never married,Heterosexual or straight,NA,234.891,234.891,236.369,1,2,4,1,1,4,1,5,6,N/A,7,5,4,6,7,3,8,2,1,9,4,2,1,5,6,1,7,7,3,2,2,6,6,5,2,5,4,3,5,4,6,6,6,5,5,4,4,4,5,11,11,11,11,11,$0.10,100 minutes,24 days,999,5,4,1,1,1,3,3,3,15,6,28,2,4.907,4.907,6.022,1,2,9.579,9.579,10.398,1,2,5.648,5.648,8.249,1,1,12.608,12.608,13.608,1,1,6.591,6.591,7.938,1,4,4.566,4.566,5.435,1,1,8.34,8.34,9.675,1,2,8.716,8.716,9.674,1,4,5.29,5.29,6.969,1,3,4.146,4.146,4.768,1,2,8.201,8.201,9.018,1,2,8.138,8.138,9.976,1,3,9.007,9.779,10.174,2,2,10.624,10.624,11.491,1,1,6.334,9.055,9.867,3,2,14.146,14.146,14.969,1,3,5.071,5.071,5.762,1,3,5.615,5.615,6.475,1,3,8.529,10.013,10.945,2,2,4.092,4.835,5.269,2,2,18.663,18.663,19.366,1,3,6.424,8.077,8.717,2,3,6.358,7.614,8.724,2,2,12.432,12.432,13.658,1,0,3.7,11,-0.353952884,4.533333333,3,0,26,29
