variable,label,value_labels,scale,subscale,keying,
id,Participant ID,NA,NA,NA,NA,
condition,,,,,,
duration,Duration of Study,NA,NA,NA,NA,
dem_gender,What is your gender?,1. Female 2. Male 3. Other,Demographics Questionnaire,NA,NA,
dem_age,What is your age?,Textbox,Demographics Questionnaire,NA,NA,
dem_employment,What is your employment status?,1. Employed for wages 2. Self-employed 3. Out of work and looking for work 4. Out of work but not currently looking for work 5. A homemaker 6. A student 7. Retired 8. Unable to work,Demographics Questionnaire,NA,NA,
dem_income,What is your total household income?,"1. Less than $10,000 2. $10,000 to $19,999 3. $20,000 to $29,999 4. $30,000 to $39,999 5. $40,000 to $49,999 6. $50,000 to $59,999 7. $60,000 to $69,999 8. $70,000 to $79,999 9. $80,000 to $89,999 10. $90,000 to $99,999 11. $100,000 to $149,999 12. $150,000 or more",Demographics Questionnaire,NA,NA,
dem_education,What is your highest level of education completed?,"1. No schooling completed 2. Nursery school to 8th grade 3. 9th, 10th or 11th grade 4. 12th grade, no diploma 5. High school graduate - high school diploma or the equivalent (for example: GED) 6. Some college credit, but less than 1 year 7. 1 or more years of college, no degree 8. Associate degree (for example: AA, AS) 9. Bachelor's degree (for example: BA, AB, BS) 10. Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA) 11. Professional degree (for example: MD, DDS, DVM, LLB, JD) 12. Doctorate degree (for example: PhD, EdD)",Demographics Questionnaire,NA,NA,
dem_religion,What is your religious affiliation?,1. Agnostic 2. Atheist 3. Buddhist 4. Chinese traditional 5. Christian 6. Christian (specifically Catholic) 7. Christian (specifically Protestant) 8. Hindu 9. Muslim 10. Sikh 11. Jewish 12. Other,Demographics Questionnaire,NA,NA,
dem_religion_12_TEXT,"Optional text response for those who selected ""other.""",Textbox,Demographics Questionnaire,NA,NA,
dem_religious,Do you consider yourself to be religious?,1. No 2. Yes,Demographics Questionnaire,NA,NA,
dem_party,What is your political affiliation?,1. Republican 2. Democrat 3. Independent 4. Other,Demographics Questionnaire,NA,NA,
dem_party_4_TEXT,"Optional text response for those who selected ""other.""",Textbox,Demographics Questionnaire,NA,NA,
dem_ethnicity,What is your ethnicity?,1. American Indian or Alaska Native 2. Asian 3. Black or African American 4. Hispanic or Latino 5. Native Hawaiian or Other Pacific Islander 6. Hispanic or Latino 7. White 8. Other,Demographics Questionnaire,NA,NA,
