id,date,time,condition,npi_total,sex,age,npi_1,npi_2,filler_1,npi_3,npi_4,npi_5,filler_2,npi_6,npi_7,npi_8,filler_3,npi_9,npi_10,npi_11,npi_12,npi_13,filler_4,npi_14,npi_15,npi_16,filler_5,npi_17,npi_18,filler_6,npi_19,npi_20,npi_21,filler_7,npi_22,npi_23,npi_24,filler_8,npi_25,npi_26,npi_27,filler_9,npi_28,npi_29,npi_30,filler_10,npi_31,npi_32,npi_33,filler_11,npi_34,npi_35,npi_36,filler_12,npi_37,npi_38,npi_39,filler_13,npi_40,certain_of_guess
1,12/1/2016,12:17:17,1,21,1,18,1,2,2,2,1,2,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,1,2,1
2,12/1/2016,12:58:47,2,13,1,18,1,2,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,2,2,2,1,1,3
3,12/1/2016,13:26:54,3,16,1,18,1,2,1,2,2,1,1,2,1,1,1,2,2,1,2,2,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,2,2,2,2,1,1,2,2,1,1,1,1,2,1,2,2,2,2,2,2,1,2,5
4,12/1/2016,15:49:21,3,7,0,18,2,2,2,2,1,1,1,2,1,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,4
5,12/1/2016,16:08:13,2,25,1,18,1,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,2,2,1,1,2,1,1,2,1,2,1,2,2,2,2,1,2,1,2,2,1,2,1,1,2,1,2,1,2,1,1,2,2,2,1,2,3
6,12/1/2016,16:39:37,1,15,1,18,1,1,2,1,1,1,2,2,1,1,1,1,2,1,2,2,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,1,1,1,2,2,1,1,1,2
7,12/1/2016,16:54:41,3,14,1,22,2,2,2,2,1,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,1,1,1,2,2,2,1,1,2,1
8,12/1/2016,17:32:29,1,7,1,21,1,2,2,2,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,2,1,2,2,2,1,1,1
9,12/1/2016,18:09:34,2,16,1,18,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1,2,1,2,1,1,1,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,1
10,12/1/2016,18:34:27,2,24,0,22,1,2,2,2,1,2,1,1,1,1,2,2,2,1,2,1,2,2,2,1,1,2,1,2,2,1,1,2,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,2,2,1,2,3
11,12/1/2016,18:58:00,3,7,0,18,1,2,2,2,1,1,2,1,1,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,1,1,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,1,2,1,1,1,2,1,2,2,2,1,1,2
12,12/2/2016,10:00:27,1,8,1,21,1,1,2,2,1,1,1,2,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,4
13,12/2/2016,10:34:21,2,16,0,18,1,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,2,1,2,2,2,1,1,1,2,1,1,1,1,2,1,2,1,2,1,2,2,1,2,5
14,12/2/2016,10:54:39,3,18,1,18,1,2,1,1,1,2,1,2,2,1,1,1,2,1,1,2,1,2,1,2,1,1,2,2,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,2,1,1,1,2
15,12/2/2016,11:27:48,1,14,1,19,1,2,2,2,1,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1,1,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1
16,12/2/2016,12:10:34,1,15,1,20,1,2,2,2,1,2,1,1,2,1,1,2,2,1,1,2,2,2,2,2,1,1,1,2,2,1,2,1,1,1,2,2,2,2,2,1,2,1,2,2,1,1,2,1,2,1,2,1,2,2,2,1,1,1
17,12/2/2016,12:23:35,2,8,1,22,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,2,1,2,2,2,1,1,2,2,1,1,2,1,1,2,2,2,1,3
18,12/2/2016,13:02:44,3,18,1,20,1,2,1,2,1,1,1,2,2,1,1,1,2,2,1,2,1,2,1,1,1,2,1,2,1,1,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1,2,1,1,1,1,2,2,2,1,2,4
19,12/2/2016,13:34:54,1,17,0,19,1,2,2,2,2,1,1,2,1,1,2,1,2,1,2,2,2,2,2,2,1,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,1,1,2,2,1,2,2,1,1,1
20,12/5/2016,11:08:56,2,12,1,19,2,2,1,2,1,2,1,2,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,2,2,1,2,2,1,2,2,2,1,1,2
21,12/5/2016,11:39:38,3,22,1,18,1,1,1,2,2,2,1,2,2,1,1,2,2,1,1,2,1,2,2,1,1,2,1,1,2,1,2,1,2,1,2,2,2,1,2,1,1,1,2,2,1,2,1,1,2,1,2,1,1,2,1,1,2,2
22,12/5/2016,12:06:21,3,18,1,22,2,2,2,1,1,2,2,2,2,1,1,2,2,2,1,2,2,2,1,1,1,2,1,1,2,1,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,1,1,2,1,2,2,2,1,2,2
23,12/5/2016,12:35:54,1,10,1,24,1,2,2,2,1,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,1,2,2,2,1,1,2,1,1,1,2,2,2,2,2,1,2,4
24,12/5/2016,13:17:51,2,10,1,19,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,2,2,2,1,2,1,1,2,2,2,1,2,1,1,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,1
25,12/5/2016,13:29:14,3,16,0,19,1,2,1,2,1,1,2,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,2,1,1,2,1,1,1,2,2,1,2,1,2,2,2,2,1,1,2,1,1,2,1,2,2,2,1,2,1,1,1
26,12/5/2016,14:07:13,2,6,1,18,2,2,2,2,1,1,1,2,1,1,2,1,1,2,2,2,2,2,1,1,2,2,1,2,1,1,2,1,1,1,2,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2
27,12/5/2016,14:37:42,1,15,0,20,1,2,2,1,1,2,1,1,1,1,2,2,2,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,2,2,1,1,2,2,2,2,1,1,6
28,12/5/2016,15:05:31,3,15,0,18,1,2,1,2,1,1,1,2,1,1,2,2,2,1,2,1,2,2,2,2,1,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,1,2,1,2,2,1,2,2
29,12/5/2016,15:29:03,1,20,1,19,1,2,1,2,1,1,1,1,2,1,2,2,2,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,2,1,2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2
30,12/5/2016,16:01:53,2,15,1,20,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,1,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2,1,1,2,1,1,2,1
31,12/5/2016,16:35:56,3,30,0,19,1,2,1,2,2,2,2,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,2,1,2,1,1,1,2,1,2,1,1,1,2,1,2,1,1,2,2,2,3
32,12/5/2016,16:48:16,2,19,1,18,1,2,2,2,1,1,2,2,1,1,1,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,1,1,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1
33,12/5/2016,17:09:45,1,11,1,22,1,2,2,2,1,1,1,2,1,1,1,2,2,2,2,2,1,2,1,1,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,2,2,1,2,2,1,2,1,1,1,1,2,2,2,1,2,2
34,12/5/2016,17:55:06,1,16,1,19,1,2,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,1,2,1,2,1,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,1,2,1,2,2,2,1,1,4
35,12/5/2016,18:31:57,2,12,1,18,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,1,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,2,2,2,1,1,1
