id,scale_version,bullshit_receptivity_scale_1,bullshit_receptivity_scale_2,bullshit_receptivity_scale_3,bullshit_receptivity_scale_4,bullshit_receptivity_scale_5,bullshit_receptivity_scale_6,bullshit_receptivity_scale_7,bullshit_receptivity_scale_8,bullshit_receptivity_scale_9,bullshit_receptivity_scale_10,bullshit_receptivity_scale_11,bullshit_receptivity_scale_12,bullshit_receptivity_scale_13,bullshit_receptivity_scale_14,bullshit_receptivity_scale_15,bullshit_receptivity_scale_16,bullshit_receptivity_scale_17,bullshit_receptivity_scale_18,bullshit_receptivity_scale_19,bullshit_receptivity_scale_20,bullshit_receptivity_scale_21,bullshit_receptivity_scale_22,bullshit_receptivity_scale_23,bullshit_receptivity_scale_24,bullshit_receptivity_scale_25,bullshit_receptivity_scale_26,bullshit_receptivity_scale_27,bullshit_receptivity_scale_28,bullshit_receptivity_scale_29,bullshit_receptivity_scale_30,age,sex,bullshit_receptivity_scale_total
1,1,3,4,3,1,2,4,4,3,4,3,4,4,4,1,4,4,2,4,3,4,4,1,4,4,4,4,4,4,4,4,22,2,102
2,1,4,2,2,5,3,5,3,2,2,5,3,5,4,2,5,3,3,2,4,2,4,2,2,1,2,3,3,1,1,1,20,1,86
3,3,4,5,4,3,2,4,1,5,4,5,2,4,5,2,5,5,4,3,4,2,3,4,4,4,3,4,5,2,3,4,20,1,109
4,2,2,3,1,4,2,5,3,5,1,4,4,3,4,1,4,4,3,4,3,5,1,4,5,1,1,4,1,1,4,3,23,1,90
5,4,4,3,4,2,3,3,4,2,4,5,4,4,3,1,2,5,3,4,1,3,5,4,2,5,5,5,4,4,3,5,20,2,106
6,3,3,4,3,4,4,4,3,2,2,4,4,5,2,4,4,3,4,3,5,4,3,5,4,5,3,4,2,4,5,5,22,1,111
7,4,4,3,4,2,2,3,3,5,5,4,5,4,3,5,3,4,4,4,3,4,2,2,1,3,5,4,4,4,5,3,20,2,107
8,3,5,1,1,1,5,5,5,5,1,4,3,5,5,5,1,5,5,5,5,3,5,1,5,5,5,5,1,5,5,5,21,2,117
9,1,2,2,2,3,3,4,4,3,2,4,4,3,4,2,4,5,3,3,3,2,4,3,4,4,3,4,3,4,3,3,19,2,97
10,2,4,3,1,1,3,2,3,4,2,4,1,5,4,3,5,2,4,3,4,2,4,5,4,2,4,2,4,2,1,5,21,1,93
11,3,5,4,3,5,2,4,4,3,3,3,3,2,5,5,2,4,2,3,3,2,4,2,5,3,3,4,2,3,1,3,20,2,97
12,1,3,2,4,1,3,4,4,2,2,3,3,1,4,2,4,5,2,5,2,3,5,2,5,4,2,4,1,5,5,4,20,2,96
13,4,2,1,1,1,1,2,2,2,2,3,3,1,3,1,1,3,2,1,1,1,1,1,1,2,1,3,1,2,2,1,20,2,49
14,4,4,4,2,4,2,4,3,3,1,4,4,2,3,4,1,4,4,2,2,4,3,3,2,3,4,2,3,1,2,1,20,2,85
15,4,2,2,3,3,3,2,4,4,3,4,2,3,4,2,3,4,4,3,1,3,3,2,4,3,3,5,3,2,4,3,20,1,91
16,1,4,3,5,5,2,5,3,1,5,3,4,5,5,5,3,5,2,4,4,5,4,5,5,2,4,5,5,5,5,5,23,1,123
17,2,4,5,3,5,2,1,4,3,5,5,3,5,3,2,2,2,4,4,4,4,2,2,1,5,3,4,2,4,4,3,19,2,100
18,3,4,3,3,4,3,5,4,3,2,4,2,4,4,1,3,3,2,3,4,3,3,2,4,2,3,4,2,3,2,3,18,2,92
19,4,3,1,3,3,1,3,1,3,1,4,2,1,2,1,2,2,1,2,2,1,2,1,2,2,2,2,1,2,2,2,23,2,57
20,2,3,4,2,3,1,2,3,4,2,2,1,3,2,3,2,1,1,2,4,2,2,1,2,4,5,2,4,2,4,3,21,1,76
21,2,3,4,3,5,2,5,5,4,3,5,3,2,4,2,4,4,2,3,1,3,4,2,2,1,2,2,1,1,2,2,19,2,86
22,1,3,2,2,1,2,3,3,3,2,1,1,2,3,1,1,2,1,2,1,3,2,1,2,1,1,2,1,3,2,1,20,2,55
23,3,4,2,4,5,1,5,4,5,5,5,2,4,3,1,1,4,1,4,1,4,4,4,5,1,2,4,1,1,2,2,20,2,91
24,1,4,1,1,1,3,5,3,3,1,3,4,4,4,4,1,4,4,4,3,4,3,5,4,3,4,5,4,5,5,5,20,2,104
25,3,4,3,2,4,2,5,4,2,2,2,4,2,3,1,5,4,2,3,5,4,4,3,5,3,3,1,1,3,1,2,20,2,89
26,1,2,1,1,1,1,2,1,3,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,2,1,1,22,2,39
