variable,label,value_labels,scale,subscale,keying,links
id,Participant ID,numeric,NA,NA,NA,NA
scale_version,Scale Version,1. Truth 2. Constructed Without Concern for the Truth 3. Bullshit 4. Profound,NA,NA,NA,NA
bullshit_receptivity_scale_1,BRS Item 1: Hidden meaning transforms unparalleled abstract beauty,"1. Not at all ""..."" 2. Somewhat ""..."" 3. Fairly ""..."" 4. Definitely ""..."" 5. Very ""...""",Bullshit Receptivity Scale,NA,NA,NA
bullshit_receptivity_scale_2,BRS Item 2: Good health imparts reality to subtle creativity.,"1. Not at all ""..."" 2. Somewhat ""..."" 3. Fairly ""..."" 4. Definitely ""..."" 5. Very ""...""",Bullshit Receptivity Scale,NA,NA,NA
bullshit_receptivity_scale_3,BRS Item 3: Wholeness quiets infinite phenomena.,"1. Not at all ""..."" 2. Somewhat ""..."" 3. Fairly ""..."" 4. Definitely ""..."" 5. Very ""...""",Bullshit Receptivity Scale,NA,NA,NA
bullshit_receptivity_scale_4,BRS Item 4: The future explains irrational facts.,"1. Not at all ""..."" 2. Somewhat ""..."" 3. Fairly ""..."" 4. Definitely ""..."" 5. Very ""...""",Bullshit Receptivity Scale,NA,NA,NA
bullshit_receptivity_scale_5,BRS Item 5: Imagination is inside exponential space time events.,"1. Not at all ""..."" 2. Somewhat ""..."" 3. Fairly ""..."" 4. Definitely ""..."" 5. Very ""...""",Bullshit Receptivity Scale,NA,NA,NA
bullshit_receptivity_scale_6,BRS Item 6: Your consciousness gives rise to a jumble of neural networks.,"1. Not at all ""..."" 2. Somewhat ""..."" 3. Fairly ""..."" 4. Definitely ""..."" 5. Very ""...""",Bullshit Receptivity Scale,NA,NA,NA
bullshit_receptivity_scale_7,BRS Item 7: Your movement transforms universal observations.,"1. Not at all ""..."" 2. Somewhat ""..."" 3. Fairly ""..."" 4. Definitely ""..."" 5. Very ""...""",Bullshit Receptivity Scale,NA,NA,NA
bullshit_receptivity_scale_8,BRS Item 8: Perceptual reality transcends subtle truth.,"1. Not at all ""..."" 2. Somewhat ""..."" 3. Fairly ""..."" 4. Definitely ""..."" 5. Very ""...""",Bullshit Receptivity Scale,NA,NA,NA
bullshit_receptivity_scale_9,BRS Item 9: The invisible is beyond new timelessness.,"1. Not at all ""..."" 2. Somewhat ""..."" 3. Fairly ""..."" 4. Definitely ""..."" 5. Very ""...""",Bullshit Receptivity Scale,NA,NA,NA
bullshit_receptivity_scale_10,BRS Item 10: The unexplainable undertakes intrinsic experiences.,"1. Not at all ""..."" 2. Somewhat ""..."" 3. Fairly ""..."" 4. Definitely ""..."" 5. Very ""...""",Bullshit Receptivity Scale,NA,NA,NA
bullshit_receptivity_scale_11,BRS Item 11: We are in the midst of a self-aware blossoming of being that will align us with the nexus itself.,"1. Not at all ""..."" 2. Somewhat ""..."" 3. Fairly ""..."" 4. Definitely ""..."" 5. Very ""...""",Bullshit Receptivity Scale,NA,NA,NA
bullshit_receptivity_scale_12,BRS Item 12: Consciousness consists of frequencies of quantum energy.,"1. Not at all ""..."" 2. Somewhat ""..."" 3. Fairly ""..."" 4. Definitely ""..."" 5. Very ""...""",Bullshit Receptivity Scale,NA,NA,NA
bullshit_receptivity_scale_13,"BRS Item 13: Consciousness is the growth of coherence, and of us.","1. Not at all ""..."" 2. Somewhat ""..."" 3. Fairly ""..."" 4. Definitely ""..."" 5. Very ""...""",Bullshit Receptivity Scale,NA,NA,NA
bullshit_receptivity_scale_14,BRS Item 14: We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.,"1. Not at all ""..."" 2. Somewhat ""..."" 3. Fairly ""..."" 4. Definitely ""..."" 5. Very ""...""",Bullshit Receptivity Scale,NA,NA,NA
bullshit_receptivity_scale_15,"BRS Item 15: Today, science tells us that the essence of nature is joy.","1. Not at all ""..."" 2. Somewhat ""..."" 3. Fairly ""..."" 4. Definitely ""..."" 5. Very ""...""",Bullshit Receptivity Scale,NA,NA,NA
bullshit_receptivity_scale_16,"BRS Item 16: As you self-actualize, you will enter into infinite empathy that transcends understanding.","1. Not at all ""..."" 2. Somewhat ""..."" 3. Fairly ""..."" 4. Definitely ""..."" 5. Very ""...""",Bullshit Receptivity Scale,NA,NA,NA
bullshit_receptivity_scale_17,BRS Item 17: The infinite is calling to us via superpositions of possibilities.,"1. Not at all ""..."" 2. Somewhat ""..."" 3. Fairly ""..."" 4. Definitely ""..."" 5. Very ""...""",Bullshit Receptivity Scale,NA,NA,NA
bullshit_receptivity_scale_18,BRS Item 18: We are being called to explore the totality itself as an interface between serenity and intuition.,"1. Not at all ""..."" 2. Somewhat ""..."" 3. Fairly ""..."" 4. Definitely ""..."" 5. Very ""...""",Bullshit Receptivity Scale,NA,NA,NA
bullshit_receptivity_scale_19,"BRS Item 19: Throughout history, humans have been interacting with the dreamscape via bio-electricity.","1. Not at all ""..."" 2. Somewhat ""..."" 3. Fairly ""..."" 4. Definitely ""..."" 5. Very ""...""",Bullshit Receptivity Scale,NA,NA,NA
bullshit_receptivity_scale_20,BRS Item 20: The future will be an astral unveiling of inseparability.,"1. Not at all ""..."" 2. Somewhat ""..."" 3. Fairly ""..."" 4. Definitely ""..."" 5. Very ""...""",Bullshit Receptivity Scale,NA,NA,NA
bullshit_receptivity_scale_21,BRS Item 21: Attention and intention are the mechanics of manifestation.,"1. Not at all ""..."" 2. Somewhat ""..."" 3. Fairly ""..."" 4. Definitely ""..."" 5. Very ""...""",Bullshit Receptivity Scale,NA,NA,NA
bullshit_receptivity_scale_22,BRS Item 22: Our minds extend across space and time as waves in the ocean of the one mind.,"1. Not at all ""..."" 2. Somewhat ""..."" 3. Fairly ""..."" 4. Definitely ""..."" 5. Very ""...""",Bullshit Receptivity Scale,NA,NA,NA
bullshit_receptivity_scale_23,BRS Item 23: Nature is a self-regulating ecosystem of awareness.,"1. Not at all ""..."" 2. Somewhat ""..."" 3. Fairly ""..."" 4. Definitely ""..."" 5. Very ""...""",Bullshit Receptivity Scale,NA,NA,NA
