id,threat,reading_comprehension_1,reading_comprehension_2,reading_comprehension_3,reading_comprehension_4,reading_comprehension_5,religious_evaluative_bias_1,religious_evaluative_bias_2,religious_evaluative_bias_3,religious_evaluative_bias_4,religious_evaluative_bias_5,religious_evaluative_bias_6,gender,age,zipcode,conservative_ideology,right_ideology,god_belief,certain_of_god_belief,importance_of_religion,religious_attendance,frequency_of_prayer,religious_affiliation,belief_in_heaven,belief_in_hell,belief_in_miracles,belief_in_angels,belief_in_life_after_death,belief_in_the_soul,not_naive,religious_evaluative_bias_total,religious_belief_total
158,2,2,1,3,3,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
123,1,2,2,1,1,2,1,3,3,3,1,3,1,19,48362,8,7,2,7,5,3,3,5,5,5,5,5,5,4,999,18,29
72,2,2,1,3,3,2,1,1,5,3,3,4,2,19,489763,7,7,1,5,2,2,4,1,3,3,3,1,3,3,0,25,16
34,1,2,2,1,1,2,1,1,5,4,4,4,2,19,48357,6,8,999,4,3,1,4,3,3,3,3,3,3,3,1,27,18
51,1,2,2,1,1,1,2,1,5,4,5,5,1,19,48101,3,3,999,3,3,2,1,10,3,3,3,4,4,4,1,28,21
112,1,2,2,1,1,1,2,2,4,4,4,4,1,18,49707,3,3,999,4,1,1,1,1,3,3,3,3,3,3,1,24,18
3,1,2,2,1,1,2,3,4,2,3,2,3,1,18,49525,2,2,1,7,1,1,0,2,1,1,2,3,3,4,1,15,14
5,2,2,1,3,3,2,1,2,5,3,3,3,2,18,49331,8,8,1,5,1,2,0,2,3,3,2,2,3,3,1,23,16
6,2,2,1,2,3,2,1,1,5,3,4,5,1,18,49404,1,1,1,2,3,2,2,10,4,1,3,4,5,5,1,27,22
10,2,2,1,3,3,2,1,1,5,3,3,3,2,18,49854,5,5,1,3,1,1,0,6,4,4,2,1,4,4,1,24,19
24,2,2,1,3,3,1,3,3,4,4,3,3,1,18,48858,2,3,1,4,3,3,0,1,3,3,4,3,4,4,1,20,21
27,2,2,1,3,3,2,2,2,2,3,3,4,1,18,48640,2,4,1,5,1,1,0,10,3,3,2,3,3,3,1,20,17
39,2,2,1,3,3,2,1,4,3,3,3,3,2,18,48193,6,5,1,3,1,1,0,1,2,2,1,1,3,1,1,19,10
42,2,2,1,3,3,1,2,2,5,3,5,4,1,19,48464,6,6,1,2,1,1,0,10,3,3,4,3,3,3,1,25,19
44,2,2,1,3,3,1,1,2,5,5,5,5,1,19,49287,1,1,1,4,1,2,0,1,3,3,2,3,3,4,1,29,18
