id,date,time,condition,threat,iat_order,gender,age,zipcode,conservative_ideology,right_ideology,syrian_refugees,health_care,muslim_Immigration,abortion,deport_immigrants,taxes,border_wall,god_belief,certain_of_god_belief,importance_of_religion,religious_attendance,frequency_of_prayer,religious_affiliation,belief_in_heaven,belief_in_hell,belief_in_miracles,belief_in_angels,belief_in_life_after_death,belief_in_the_soul,text_comprehension_G_1,text_comprehension_G_2,text_comprehension_G_3,text_comprehension_G_4,text_comprehension_G_5,duration_reading_text_G,text_comprehension_R_1,text_comprehension_R_2,text_comprehension_R_3,text_comprehension_R_4,text_comprehension_R_5,duration_reading_text_R,certain_of_guess,duration_reading_text_ALL,correct_reading_comprehension,religious_belief_total,conservative_political_belief_total,IAT_score
1,11/27/2017,12:34:02,2,1,2,2,19,48823,2,2,4,5,1,5,2,3,1,1,2,2,1,1,10,3,3,3,3,3,3,99,99,99,99,99,0,2,2,1,1,2,57582,2,57582,5,18,15,-0.4973502731
6,11/27/2017,19:01:54,4,2,2,2,18,48324,4,5,4,4,3,5,5,3,1,1,2,1,1,1,12,3,4,2,5,3,4,2,1,3,3,2,108205,99,99,99,99,99,0,1,108205,5,21,26,0.518086717
14,11/28/2017,16:14:13,2,1,2,2,18,28290,3,7,4,5,1,5,3,3,1,1,3,2,1,1,5,2,2,3,2,4,4,99,99,99,99,99,0,2,2,1,1,1,107439,1,107439,4,17,22,0.870421657
17,11/28/2017,16:55:48,1,1,1,2,19,48236,7,6,3,4,4,5,4,5,4,1,4,3,1,1,5,3,3,3,4,4,3,99,99,99,99,99,0,2,2,1,1,1,91351,5,91351,4,20,36,0.630626021
18,11/28/2017,17:25:07,3,2,1,1,18,48382,5,4,4,5,2,4,3,4,1,1,6,1,2,1,2,2,2,3,2,3,2,2,1,2,3,2,127231,99,99,99,99,99,0,4,127231,4,14,24,1.394411872
19,11/28/2017,17:58:15,4,2,2,2,18,48073,4,6,2,4,2,4,3,3,2,1,6,1,1,1,2,2,2,3,3,3,3,2,1,2,2,1,58663,99,99,99,99,99,0,1,58663,2,16,28,0.998331953
20,11/28/2017,18:15:52,2,1,2,1,20,48322,4,4,4,5,1,5,2,3,1,1,6,2,3,1,12,3,3,2,1,3,3,99,99,99,99,99,0,2,2,1,1,2,69513,5,69513,5,15,19,1.242306572
32,11/29/2017,15:48:01,1,1,1,1,18,48331,6,6,3,3,3,4,4,3,3,1,4,3,3,1,6,3,3,4,3,4,3,99,99,99,99,99,0,2,2,1,1,1,87164,2,87164,4,20,33,0.790772178
34,11/29/2017,16:25:24,1,1,1,2,21,48114,5,6,5,5,1,5,2,2,1,1,5,1,1,1,1,3,3,3,3,3,3,99,99,99,99,99,0,2,2,1,1,1,76484,3,76484,4,18,20,0.943903851
35,11/29/2017,16:40:00,3,2,1,2,18,48167,5,5,2,4,3,5,4,3,1,1,7,3,1,2,12,1,1,3,3,5,5,2,1,2,3,2,56628,99,99,99,99,99,0,4,56628,4,18,28,0.847226739
37,11/29/2017,17:32:47,4,2,2,2,18,48346,4,5,3,4,3,5,2,3,2,1,7,1,1,1,1,3,3,1,3,3,3,2,1,3,3,2,99549,99,99,99,99,99,0,1,99549,5,16,25,-0.19740698
40,11/29/2017,18:30:50,4,2,2,2,19,48615,4,10,4,5,1,5,2,3,1,1,7,1,3,1,5,1,1,1,5,1,2,2,1,3,3,2,75911,99,99,99,99,99,0,6,75911,5,11,25,0.367913315
