id,iv1_write,iv1_text,iv2_threat,threatened,bullshit_receptivity_scale_1,bullshit_receptivity_scale_2,bullshit_receptivity_scale_3,bullshit_receptivity_scale_4,bullshit_receptivity_scale_5,bullshit_receptivity_scale_6,bullshit_receptivity_scale_7,bullshit_receptivity_scale_8,bullshit_receptivity_scale_9,bullshit_receptivity_scale_10,bullshit_receptivity_scale_11,bullshit_receptivity_scale_12,bullshit_receptivity_scale_13,bullshit_receptivity_scale_14,bullshit_receptivity_scale_15,bullshit_receptivity_scale_16,bullshit_receptivity_scale_17,bullshit_receptivity_scale_18,bullshit_receptivity_scale_19,bullshit_receptivity_scale_20,bullshit_receptivity_scale_21,bullshit_receptivity_scale_22,bullshit_receptivity_scale_23,bullshit_receptivity_scale_24,bullshit_receptivity_scale_25,bullshit_receptivity_scale_26,bullshit_receptivity_scale_27,bullshit_receptivity_scale_28,bullshit_receptivity_scale_29,bullshit_receptivity_scale_30,brs_not_naive,age,gender,god_belief,certain_of_god_belief,prayer_frequency,prayer_duration,religious_attendance,religious_affiliation,previous_knowledge,purpose_guess,purpose_guess_certainty,start_time,end_time,brs_total
1,2,i am believe my god. i am very like. most important in my life.,1,1,1,3,2,1,2,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,1,1,2,2,1,2,1,1,1,35,1,2,6,5,7,6,Hindu,No,i like,4,2017-07-01-05-39,2017-07-01-05-54,44
2,2,"There have been many experiences that I would consider religious. One of these exact moments was whenever my oldest daughter wanted to be baptized. She made this decision on her own, and wanted to be closer to God.",2,1,3,3,2,2,2,2,2,3,3,3,4,2,4,1,2,2,2,3,3,2,3,2,2,4,1,2,3,2,3,2,0,39,1,2,7,6,6,5,Christian,I knew nothing,I have no idea.,3,2017-06-30-16-43,2017-06-30-16-52,74
3,2,"I was at a baseball game at the age of 10.  I was playing.  I had to go to the bathroom to take a huge dump.  I was prairie-dogging it.  I was pleading to God the whole way to the bathroom, to help me not to shit my pants.  Before this point, I didn't really believe much in God.  Seemed like something all the other kids did, but my parents weren't religious.  I wanted to believe, so I asked God to help me not to shit my pants.  I realized that it wouldn't have been a big deal, because playing a baseball game, our uniforms would get brown from time to time.  Unfortunately, I never slid on my ass, so everybody would know it was a poo stain.  After I made it to the toilet and released my load, I exhaled and said aloud, ""Thank the Lord!.""  Then I heard him say, ""You're welcome, my child.""  God had spoken to me and from that point on, I knew there was a God!  Whenever I hear someone say, ""Holy Shit!,"" it makes me think of this incident.",2,0,2,2,1,1,2,1,2,1,2,2,1,1,1,1,2,4,3,2,2,1,1,2,2,1,1,2,1,2,2,1,0,40,1,2,2,1,1,1,Christian,Doing some writing,writing about a spiritual experience will make us think ridiculous statements are more profound.,3,2017-06-30-17-14,2017-06-30-17-26,49
4,1,"Work is the part of my life that is a daily thing that I tend to hate and wish I could avoid.  I work in adult mental health in a program where training and skill development is the focus.   I conduct groups and I am increasingly not patient and very dissatisfied.   Because of this, I tend to spend most of the time I have dreading work, hating work, wishing that I could call off or quit or find a way, any way, to avoid the daily hassle and sense of helplessness.   Work tends to be the daily task that represents who we are.",2,1,4,5,1,5,3,4,3,2,2,3,3,2,1,2,5,2,3,2,5,1,1,4,4,3,2,3,5,1,2,4,0,36,2,2,5,5,4,6,luthern,none,I feel that the use of thinking and cognitions and how to improve upon ones thought process,4,2017-07-01-01-11,2017-07-01-01-29,87
5,2,"My father passed away five years ago resulting in my loss of faith. I thought to myself, if there is a real god, why did my father have to die so unexpectedly? He was young, healthy, happy and had so many reasons to live. However, after a few months of feeling this way, I had a dream one night that made me question my faith yet again. I had a dream in which god visited me and explained to me why exactly it was that he decided to bring my father home. I know it may sound dumb, but the dream itself felt so real that I from that moment on never questioned my faith again.",2,1,2,2,3,2,3,2,3,3,3,3,4,2,3,2,2,3,2,3,3,3,3,3,3,2,2,2,3,3,2,2,0,30,2,2,5,5,3,3,byzantine catholic,That it was on a religious topic,If someone can lose and then regain their faith in god,3,2017-07-01-14-13,2017-07-01-14-23,78
6,1,"Every morning I wake up to my daughter jumping on my bed asking for breakfast, after trying to sleep for 5 more minutes, I finally get up, I make breakfast, put on the TV and get our drinks. After breakfast I clean up, then sit down and begin working on mturk. I work on this for a few hours until it is lunch time. Then I make lunch, feed my daughter. Then spend some time cleaning. I work for another hour, until I need to get dinner started. I start dinner,it is normally in the crock pot. So while it cooks I can get some more work in before my husband gets home. Once he gets home we eat dinner, watch a movie together. Then I clean up from dinner, he relaxes. My daughter is then laying in her room, and he goes to lay down. I spend another two hours working. Then I go to bed.",2,0,2,4,4,3,4,5,5,5,4,1,5,3,5,1,4,3,3,2,1,4,3,5,5,4,1,1,3,4,5,3,0,25,2,1,5,1,1,1,agnostic,nothing,To see how peoples religious views effect their daily opinions and views.,4,2017-06-30-20-51,2017-06-30-21-02,102
7,2,I have had a spiritual experience once or twice in my life. I sometimes get some strong feelings that something is going on out of my control. I feel like it is very powerful. I have taken the time to focus on this feeling. It changes the way I think and feel about the world. I really have no way to put it into words because it is just the way I feel. I can focus on this feeling sometimes for what seems like a little bit of time and other times it just seems to go away. I think some people might think it is like when someone might pray but to me it is different. It is about focusing on the bigger picture and what might be out there. I try my best to figure things out but sometimes I am left with more questions then answers. Other times I feel like I have some sort of break through and was on to something. If I knew more maybe it would help in trying to put it into words. This is why I say it is a spiritual experience because words do not work. It is only feelin,1,0,3,3,3,2,3,3,3,3,3,3,3,4,3,4,2,3,3,4,3,3,3,4,3,3,4,3,4,4,4,4,0,34,1,1,4,2,11,2,none,nothing,How religion has lost but the spirit is on the rise.,2,2017-06-30-21-44,2017-06-30-21-57,97
8,2,"I had no hope when my mother was in a hospital for a disease. My grades were dropping in high school and I was in a bit of a depression. When I started to see her slowly recover my faith and spiritual belief was heigthened. My mother, the closest person to me, recovered from kidney disease, a miscarriage, and a stroke and is still here in my life. This was the moment I realized my beliefs came into fruition. I has serious doubts on the existence of God, but situations such as this changed my perspective on that. Although I am not the most religious person, I do belief God does exist in my realm and I will continue to be optimistic on this aspect of my spirituality.",2,0,3,2,4,5,5,2,2,4,3,2,3,1,4,1,2,4,3,2,3,4,2,2,4,2,2,3,2,3,2,3,0,20,2,2,6,3,4,3,Methodist,I knew I had to write and complete a questionnaire,To understand religion perception and profound ideas,3,2017-07-01-05-27,2017-07-01-05-39,84
9,1,"My dog Bailey schedules my day.  She waits patiently for me to wake up, but once I stir in bed, there is her wet nose in my face.  Bailey's main objective each morning is to get me dressed and out the door for a walk.  I make her wait, laying by my side as I drink a cup of coffee.  Her ears droop if I decide to enjoy a second cup.  Labradors have little patience.  ~~~~After perusing the news ad finishing coffee, we finally get the red leash out and head to Mavrakis pond.  It is a place of wonderment for both of us.  There are ducks, turtles, fish and even deer.  Today she sniffed into some brush and jumped straight up and back!  She found a snake!",1,0,1,3,3,2,1,1,2,2,1,1,1,1,3,1,5,1,1,1,1,2,1,3,5,1,1,1,4,4,2,1,0,59,2,1,7,1,1,1,agnostic,nothing,To better understand people's spiritual views,5,2017-07-01-05-53,2017-07-01-06-06,57
10,2,"I do not have religion believes or get fixated on such things, I do have spiritual practice which include understanding of things, connected to the inner self and find our my thoughts better.  I have at time feel like being one with nature in natural setting where sense of time slow down and I can feel life energy in nature, from the trees to the animals enhance my sense and have a direct effect on my well being and thoughts",2,0,1,3,1,1,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,1,1,1,2,1,1,2,1,1,1,2,0,31,1,2,4,1,1,1,spiritual but not religious,personality preference,self actualization ~~view on religion and growth~~,2,2017-06-30-17-49,2017-06-30-18-00,44
11,2,"I cannot say I have had a religious experience.  I grew up in a Catholic home, but have always had my doubts about God.  I believe that those who have had religious experiences had them as a result of some kind of chemical reaction within their own brains.",2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,38,1,1,3,2,4,3,Catholic,nothing,?,1,2017-06-30-16-50,2017-06-30-16-59,30
12,1,"When I wake up in the mornings I like to go into my Ladies Den and do some acrylic painting. it helps me start the day in a relaxing mode. Then my husband wakes up about a half hour later farting his way down the hallway and turns on Fox News in the livingroom. When that happens I turn up the volumn on my laptop since I'm watching Netflix. Typically a show like ""Women Behind Bars."" My husband proceeds to get himself some breakfast and if it's cereal he spends about 10 minutes clanking the spoon against the ceramic bowl in a manner that makes me sympathize with the women on the show I'm watching. About 30 minutes later I shut down everything in my Ladies Den and go into our bedroom to get dressed and ready for work. My husband comes in and gives me a kiss and we hug, the normal morning goodbyes. He grabs his survivalist backpack and his gun on his way out the door as I make ""pew pew pew"" noises down the hallway to myself. This happens basically 5 days a week. He's a republican and I'm a democrat.",1,0,4,1,1,1,4,1,3,3,1,3,1,3,4,1,3,3,1,3,1,1,2,3,4,1,2,2,3,3,2,1,0,46,2,1,7,1,1,1,None,Nothing,Do you believe in God? I believe that is the purpose of this study. To see if a day in my life had anything to do with a religious ritual. That would be difficult when you hear your husband farting all morning.,6,2017-06-30-23-34,2017-06-30-23-49,66
13,2,"When my daughter was admitted to the hospital for self harm, any religious beliefs I had left me.  God did not answer my prayers for her, and in the ensuing struggle over the past four years, he has not been there for me.  There was no solace for me, no help, no guidance, no action.  So I have no use for a god that doesn't help me, and I am pretty much a firm non believer at this point/stage of my life.  I prayed and prayed then and after, and nothing.  I don't understand why in this country everyone feels like there is something wrong with you if you don't believe in god.  It's ridiculous.  He hasn't done anything for anybody that I can see.",2,0,3,1,4,3,1,1,2,2,3,1,3,1,4,1,5,1,4,2,1,1,2,2,1,1,2,2,2,2,2,2,0,52,2,1,6,1,1,1,none,nothing,beliefs in god compared to thoughts on profoundness,2,2017-06-30-23-28,2017-06-30-23-37,62
