id,date,time,condition,threat,iat_order,gender,age,zipcode,conservative_ideology,right_ideology,god_belief,certain_of_god_belief,importance_of_religion,religious_attendance,frequency_of_prayer,religious_affiliation,belief_in_heaven,belief_in_hell,belief_in_miracles,belief_in_angels,belief_in_life_after_death,belief_in_the_soul,text_comprehension_G_1,text_comprehension_G_2,text_comprehension_G_3,text_comprehension_G_4,text_comprehension_G_5,duration_reading_text_G,text_comprehension_R_1,text_comprehension_R_2,text_comprehension_R_3,text_comprehension_R_4,text_comprehension_R_5,duration_reading_text_R,certain_of_guess,duration_reading_text_ALL,correct_reading_comprehension,religious_belief_total,IAT_score
1,11/10/2017,16:34:22,2,1,2,1,20,49509,4,5,2,1,3,3,2,5,3,4,3,2,4,5,99,99,99,99,99,NA,2,2,1,1,2,NA,3,NA,5,21,0.369040507
2,11/13/2017,11:10:19,1,1,1,1,18,48879,9,6,2,6,4,4,6,6,4,4,4,3,4,4,99,99,99,99,99,NA,2,2,1,1,1,NA,3,NA,4,23,1.066143481
3,11/13/2017,11:38:23,4,2,2,2,18,48603,7,3,2,4,4,3,5,5,4,3,4,4,4,4,2,1,1,3,1,NA,99,99,99,99,99,NA,3,NA,3,23,0.106414212
4,11/13/2017,12:03:12,3,2,1,2,18,48316,4,4,2,6,4,3,4,6,5,4,5,4,5,4,2,1,3,3,1,NA,99,99,99,99,99,NA,4,NA,4,27,1.023882566
5,11/13/2017,12:39:19,2,1,2,2,18,60433,5,6,2,6,5,5,7,5,5,5,5,5,4,4,99,99,99,99,99,0,2,2,1,1,1,78098,4,78098,4,28,0.510074425
6,11/13/2017,13:11:35,4,2,2,1,18,49969,6,6,2,5,1,1,1,5,4,4,3,4,3,3,2,1,3,3,1,78609,99,99,99,99,99,0,1,78609,4,21,0.142867418
7,11/13/2017,13:35:43,1,1,1,1,19,49201,6,7,2,7,6,5,7,6,5,5,5,5,5,5,99,99,99,99,99,0,2,2,1,1,1,99346,3,99346,4,30,1.260401855
8,11/13/2017,14:40:06,3,2,1,2,18,48335,6,6,2,7,6,5,7,5,2,4,5,5,5,5,2,1,1,3,2,84229,99,99,99,99,99,0,1,84229,4,26,1.138416943
9,11/13/2017,15:41:34,1,1,1,2,18,49445,3,3,1,6,2,1,1,1,3,3,2,3,4,4,99,99,99,99,99,0,2,2,1,1,1,78844,4,78844,4,19,0.682796777
10,11/13/2017,16:04:58,3,2,1,2,18,48084,3,10,2,5,4,4,2,6,4,3,4,3,4,4,2,1,3,3,1,74444,99,99,99,99,99,0,3,74444,4,22,1.604505394
11,11/13/2017,16:39:56,4,2,2,1,18,49866,7,7,2,7,5,5,7,5,4,5,5,5,5,5,2,1,3,3,1,71167,99,99,99,99,99,0,3,71167,4,29,1.072951269
12,11/13/2017,17:12:32,2,1,2,1,21,48059,6,7,2,4,1,1,2,5,4,4,4,3,4,4,99,99,99,99,99,0,2,2,1,1,2,56535,3,56535,5,23,0.776566154
13,11/13/2017,17:37:00,1,1,1,1,20,48813,5,6,2,6,4,3,4,5,5,4,4,3,4,4,99,99,99,99,99,0,2,2,1,1,1,75784,5,75784,4,24,1.276820543
14,11/13/2017,17:54:33,2,1,2,2,18,60649,2,10,2,5,4,2,4,5,4,4,5,3,3,3,99,99,99,99,99,0,2,2,1,2,1,80350,3,80350,3,22,1.091103388
15,11/13/2017,18:39:38,3,2,1,2,18,48611,6,6,2,7,4,5,2,6,5,5,5,4,5,3,2,1,1,1,1,60956,99,99,99,99,99,0,2,60956,2,27,1.239253676
