id,threat,reading_comprehension_1,reading_comprehension_2,reading_comprehension_3,reading_comprehension_4,reading_comprehension_5,political_question_1,political_question_2,political_question_3,political_question_4,political_question_5,political_question_6,political_question_7,political_question_8,gender,age,zipcode,conservative_ideology,right_ideology,god_belief,certain_of_god_belief,importance_of_religion,religious_attendance,frequency_of_prayer,religious_affiliation,belief_in_heaven,belief_in_hell,belief_in_miracles,belief_in_angels,belief_in_life_after_death,belief_in_the_soul,not_naive,political_ideology_total,religious_belief_total
1,2,2,1,3,2,1,4,3,4,3,3,1,4,4,1,18,49721,6,6,2,1,4,3,2,6,1,1,1,3,1,1,2,26,8
2,2,2,1,3,3,1,3,3,3,4,3,2,4,4,2,21,48529,6,6,1,6,1,1,1,2,1,1,1,1,1,1,1,28,6
3,1,2,2,1,1,1,4,3,4,2,4,5,4,4,1,18,48230,6,6,2,5,3,2,4,10,3,3,4,4,4,3,1,30,21
4,2,2,1,3,3,1,999,5,2,2,2,1,4,5,1,18,48035,10,7,2,4,3,2,1,5,3,3,4,3,4,3,1,999,20
5,2,2,1,3,3,2,3,3,4,3,3,4,4,4,2,19,48732,8,8,2,3,3,2,0,1,3,3,3,3,3,3,1,28,18
6,2,2,1,3,3,1,1,5,2,1,4,1,1,7,2,18,48353,11,9,2,5,2,1,0,10,4,4,3,3,4,3,2,20,21
7,2,2,1,3,3,1,3,2,2,5,2,6,6,2,1,18,48306,3,3,1,6,3,2,4,2,3,3,2,2,2,2,2,36,14
8,1,2,2,2,1,2,4,4,4,5,2,4,4,4,1,18,48642,6,6,2,7,4,5,1,12,4,4,4,4,4,4,1,31,24
9,2,2,1,3,3,2,2,2,4,2,4,1,4,4,1,18,48603,5,5,2,1,2,2,1,1,3,3,3,4,4,4,2,23,21
10,1,2,2,1,1,1,999,3,999,2,4,3,999,999,1,19,49058,3,999,2,6,4,4,1,5,4,4,3,4,4,3,1,999,22
11,1,2,2,1,1,1,2,4,3,5,7,1,6,2,1,21,48098,4,4,1,5,1,3,4,10,3,3,2,2,2,2,1,36,14
12,2,2,1,3,3,1,4,3,6,3,2,7,4,4,1,18,48602,4,5,1,4,1,1,0,2,3,3,3,3,3,3,1,29,18
13,1,2,2,1,1,2,3,4,4,3,4,1,5,3,1,18,48324,5,6,1,6,2,1,0,1,3,2,2,1,3,4,2,29,15
14,2,2,1,3,3,1,2,3,3,2,4,1,4,4,2,18,49687,10,10,2,7,4,5,5,6,5,5,5,5,5,4,2,25,29
15,1,2,2,1,1,1,4,3,4,5,7,7,7,1,1,18,48603,2,2,2,2,3,4,4,5,4,1,2,2,3,3,2,44,15
16,2,2,1,3,3,1,3,3,4,3,4,1,4,4,1,18,49316,6,6,2,1,5,3,6,5,5,4,5,4,5,3,2,26,26
17,1,2,2,1,1,2,3,3,4,4,2,2,3,6,2,18,49201,8,6,2,7,4,4,3,5,5,5,4,4,5,4,2,23,27
