variable,label,value_labels,scale,subscale,Keying,links
id,ID Number,numeric,NA,NA,NA,NA
threat,Religious vs. Geographic Change,1. Religious Change 2. Demographic Change,NA,NA,NA,https://drive.google.com/file/d/1Ay5S0XrTS6LEKoeuz0Q1WyRH_8BiZp_1/view?usp=sharing
reading_comprehension_1,The data discussed in this article was gathered ____.,1. by a telephone interview company 2. by the U.S. Census Bureau 3. in lab studies across the country,Reading Comprehension,NA,NA,https://drive.google.com/file/d/1JYkJCN5AkxUAprJ4IWJ_OT6EWzlVgSv4/view?usp=sharing
reading_comprehension_2,The national trend discussed in this article suggests that individuals are _____ over time.,1. becoming more religious 2. becoming less religious 3. not changing in regards to their religious beliefs,Reading Comprehension,NA,NA,NA
reading_comprehension_3,"By 2042, researchers predict that within the United States ____.",1. religious people will no longer be in the majority 2. religious people will no longer be in the minority 3. religious people will return to being in the majority,Reading Comprehension,NA,NA,NA
reading_comprehension_4,The trends discussed in this article are expected to be driven by ____.,1. millennials 2. baby boomers 3. members of the greatest generation,Reading Comprehension,NA,NA,NA
reading_comprehension_5,These trends are expected to continue regardless of culture.,1. True 2. False,Reading Comprehension,NA,NA,NA
political_question_1,L.Please indicate the extent to which the required time to be eligible for U.S. citizenship should be increased or decreased.L,1. Increases a lot 2. Increased a little 3. No Change 4. Decreased a little 5. Decreased a lot,Political Beliefs,NA,-1,NA
political_question_2,L.Please indicate the extent to which foreign immigration to the United States should be increased or decreased.L,1. Increases a lot 2. Increased a little 3. No Change 4. Decreased a little 5. Decreased a lot,Political Beliefs,NA,-1,NA
political_question_3,C.Please indicate the degree to which you support affirmative action.C,1. Strongly support 2. Support 3. Moderately Support 4. Neutral 5. Moderately oppose 6. Oppose 7. Strongly oppose,Political Beliefs,NA,1,NA
political_question_4,L.Please indicate the extent to which funding of the U.S. Department of Defense should be increased or decreased.L,1. Increases a lot 2. Increased a little 3. No Change 4. Decreased a little 5. Decreased a lot,Political Beliefs,NA,-1,NA
political_question_5,L.Please indicate the degree to which you support for health-care reform.L.,1. Strongly support 2. Support 3. Moderately Support 4. Neutral 5. Moderately oppose 6. Oppose 7. Strongly oppose,Political Beliefs,NA,-1,NA
political_question_6,L.Please indicate the degree to which you support making English the official U.S. language.L,1. Strongly support 2. Support 3. Moderately Support 4. Neutral 5. Moderately oppose 6. Oppose 7. Strongly oppose,Political Beliefs,NA,-1,NA
political_question_7,L.Please indicate the degree to which you endorse aspects of conservative political ideology.L,1. Strongly support 2. Support 3. Moderately Support 4. Neutral 5. Moderately oppose 6. Oppose 7. Strongly oppose,Political Beliefs,NA,-1,NA
political_question_8,C.Please indicate the degree to which you endorse aspects of liberal political ideology.C,1. Strongly support 2. Support 3. Moderately Support 4. Neutral 5. Moderately oppose 6. Oppose 7. Strongly oppose,Political Beliefs,NA,1,NA
gender,What is your gender?,1. Female 2. Male 3. Other,Demographics,NA,NA,NA
age,What is your age?,numeric,Demographics,NA,NA,NA
zipcode,What is the zip code for the location in which you have spent the largest portion of your life?,numeric,Demographics,NA,NA,NA
conservative_ideology,Please indicate were you would fall on the Liberal/Conservative spectrum?,1. Very Liberal 11. Very Conservative,Political Beliefs,NA,NA,NA
