variable,label,value_labels,scale,subscale,Keying,links
start_date,Start Date,date,NA,NA,NA,https://drive.google.com/file/d/1sUOtGFwdh7PF1hYIKRO8a-8WqfVW5_Dx/view?usp=sharing
end_date,End Date,date,NA,NA,NA,NA
duration,Duration (in seconds),numeric,NA,NA,NA,NA
gender,Gender of Participant,1. Female 2. Male 3. Other,Demographics,NA,NA,NA
age,Age of Participant,numeric,Demographics,NA,NA,NA
employment,What is your employment status?,1. Employed for wages 2. Self-employed 3. Out of work and looking for work 4. Out of work but not currently looking for work 5. A homemaker 6. A student 7. Retired 8. Unable to work,Demographics,NA,NA,NA
income,What is your household income?,"1. Less than $10,000 2. $10,000 to $19,999 3. $20,000 to $29,999 4. $30,000 to $39,999 5. $40,000 to $49,999 6. $50,000 to $59,999 7. $60,000 to $69,999 8. $70,000 to $79,999 9. $80,000 to $89,999 10. $90,000 to $99,999 11. $100,000 to $149,999 12. $150,000 or more",Demographics,NA,NA,NA
education,What is your educational level?,"1. No schooling completed 2. Nursery school to 8th grade 3. 9th, 10th or 11th grade 4. 12th grade, no diploma 5. High school graduate - high school diploma or the equivalent (for example: GED) 6. Some college credit, but less than 1 year 7. 1 or more years of college, no degree 8. Associate degree (for example: AA, AS) 9. Bachelor's degree (for example: BA, AB, BS) 10. Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA) 11. Professional degree (for example: MD, DDS, DVM, LLB, JD) 12. Doctorate degree (for example: PhD, EdD)",Demographics,NA,NA,NA
religious_affiliation,Religious Affiliation,1. Atheist 2.Agnostic 3. Buddhist 4. Chinese traditional 5. Christian 6. Christian (specifically Catholic) 7. Christian (specifically Protestant) 8. Hindu 9. Muslim 10. Sikh 11. Other ,Demographics,NA,NA,NA
religious_affiliation_other,Other Religious Affiliation,string,Demographics,NA,NA,NA
religious_identity_1,"Overall, my religious group has very little to do with how I feel about myself.",1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Religious Identity,NA,-1,NA
religious_identity_2,The religious group I belong to is an important reflection of who I am.,1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Religious Identity,NA,1,NA
religious_identity_3,The religious group I belong to is unimportant to my sense of what kind of person I am.,1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Religious Identity,NA,-1,NA
religious_identity_4,"In general, belonging to my religious group is an important part of my selfimage.",1. Strongly Disagree 2. Disagree 3. Somewhat disagree 4. Neither agree nor disagree 5. Somewhat agree 6. Agree 7. Strongly agree,Religious Identity,NA,1,NA
party,What is your political affiliation?,1. Republican 2. Democrat 3. Independent 4. Other,Demographics,NA,NA,NA
party_other,Other Political Party,string,Demographics,NA,NA,NA
ethnicity,What is your ethnicity?,1. White 2. Hispanic or Latino 3. Black or African American 4. Native American or American Indian 5. Asian / Pacific Islander 6. Other,Demographics,NA,NA,NA
ethnicity_other,Other Ethnicity,string,Demographics,NA,NA,NA
marital_status,What is your marital status?,1. Now married 2. Widowed 3. Divorced 4. Separated 5. Never married ,Demographics,NA,NA,NA
threatened_by_info,"Assuming that this study was properly conducted, to what degree do you find the results to be concerning?",1. Not concerning at all 2. Not really concerning 3. Neither concerning or unconcerning 4. Slightly concerning 5. Moderately concerning 6. Strongly concerning 7. Very strongly concerning,NA,NA,NA,NA
condition_religious_threat,Experimental Condition: Religious Threat,1. Control Group 2. Religious Threat Condition,NA,NA,NA,NA
quality_of_article,Please consider the study that was presented in the article that you just read. How well/poorly did you find the study to be conducted?,-8. very poorly done 8. very well done',NA,NA,NA,NA
convincingness_of_article,Please again consider the article that you just read. How convincing did you find the article's main argument?,-8. very unconvincing 8. very convincing',NA,NA,NA,NA
right_wing_authoritarianism_01,It’s great that many young people today are prepared to defy authority,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Conservatism (“Authoritarian Submission”),-1,NA
right_wing_authoritarianism_02,"What our country needs most is discipline, with everyone following our leaders in unity.",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Conservatism (“Authoritarian Submission”),1,NA
right_wing_authoritarianism_03,"Students at high schools and at university must be encouraged to challenge, criticize, and confront established authorities",1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Conservatism (“Authoritarian Submission”),-1,NA
right_wing_authoritarianism_04,Obedience and respect for authority are the most important virtues children should learn.,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Conservatism (“Authoritarian Submission”),1,NA
right_wing_authoritarianism_05,Our country will be great if we show respect for authority and obey our leaders.,1. Very strongly disagree 2. Strongly disagree 3. Moderately disagree 4. Slightly disagree 5. Neither agree nor disagree 6. Slightly agree 7. Moderately agree 8. Strongly agree 9. Very strongly agree,Right Wing Authoritarianism,Conservatism (“Authoritarian Submission”),1,NA
