threat_condition,source_condition,christian,conservative_political_beliefs_normalized,authoritarian_answers_total,religious_beliefs_total,religious_evaluative_bias_total,threatened,article_quality,article_convinvingness,gender,age,employment,income,education,religious_affiliation,political_party,ethnicity,marital_status,article_comprehension,god_belief,certain_of_god_belief,religious_importance,religious_attendance,prayer_frequency,belief_in_heaven,belief_in_hell,belief_in_miracles,belief_in_angels,belief_in_life_after_death,belief_in_the_soul,attention_check_1,religious_evaluative_bias_1,religious_evaluative_bias_2,religious_evaluative_bias_3,religious_evaluative_bias_4,religious_evaluative_bias_5,religious_evaluative_bias_6,political_beliefs_religious_1,political_beliefs_religious_2,political_beliefs_religious_3,political_beliefs_religious_4,political_beliefs_conservative_5,political_beliefs_conservative_6,political_beliefs_conservative_7,political_beliefs_conservative_8,attention_check_2,political_beliefs_9,political_beliefs_10,political_beliefs_11,authoritarian_parenting_preferences_1,authoritarian_parenting_preferences_2,authoritarian_parenting_preferences_3,authoritarian_parenting_preferences_4,purpose_guess,guess_certainty,start_time,end_time,total_time
1,1,999,0.3949772921,1,14,15,1,14,8,2,34,1,10,11,999,3,5,5,1,2,3,1,2,1,3,3,1,1,3,3,3,3,3,2,2,2,3,1,2,1,1,4,2,4,5,2,67,43,68,0,1,0,0,To study how religiousness influences political preferences.,3,2018-06-13-02-14,2018-06-13-02-20,6
1,1,0,2.256870032,3,6,26,2,4,3,1,21,2,2,7,2,1,1,5,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,5,3,5,3,2,5,1,1,4,3,2,5,2,50,9,98,1,1,1,0,I think the study was to see how religious people vs non religious people think of things and what their goals and thoughts are on average,3,2018-06-22-03-39,2018-06-22-03-49,10
1,1,0,0.5850130967,2,16,24,2,10,4,2,21,1,9,7,1,3,5,5,1,2,7,1,1,1,3,3,1,3,3,3,3,2,2,4,4,4,4,1,4,2,2,2,4,2,4,2,49,25,75,1,1,0,0,Whether people who are more/less religious or more/less liberal/conservative have different opinions on what a child's behavior should be,3,2018-06-09-04-48,2018-06-09-04-56,8
2,1,0,-7.043764801,1,6,24,2,14,14,2,21,2,10,8,2,2,1,5,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,4,5,4,1,2,2,5,1,2,2,2,1,2,6,6,9,0,1,0,0,I'm not sure what the point was.,2,2018-05-29-20-05,2018-05-29-20-09,4
2,1,0,-14.26579538,2,9,21,2,14,14,2,22,1,2,9,3,2,5,5,1,2,4,1,1,1,2,3,1,1,1,1,3,2,1,5,1,5,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,How different between religion and certain political viewpoints effect someones lifestyle.,4,2018-06-09-04-48,2018-06-09-04-54,6
1,1,0,-3.170193963,1,16,30,2,13,11,1,22,2,3,6,11,2,1,5,1,2,9,1,1,1,3,3,1,3,3,3,3,1,1,5,5,5,5,2,2,1,1,1,4,2,5,2,35,35,35,0,1,0,0,political opinions,3,2018-06-13-02-13,2018-06-13-02-20,7
1,2,0,-4.425274889,2,22,20,2,16,14,1,22,1,4,8,11,2,1,5,1,1,2,4,3,2,4,4,4,3,4,3,3,1,2,4,2,2,3,1,3,1,2,1,3,2,4,2,32,19,37,1,0,0,1,getting opinions.,6,2018-06-02-15-55,2018-06-02-15-58,3
2,2,0,-3.670024794,1,7,20,2,14,14,2,22,1,5,5,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,3,2,2,4,2,3,3,2,2,1,1,2,4,3,2,2,33,33,50,0,1,0,0,The purpose of the study was to get my views my political and religious beliefs.,3,2018-06-09-17-26,2018-06-09-17-32,6
2,2,0,-12.74537961,1,8,19,2,14,14,2,22,1,7,8,11,3,1,5,1,2,1,2,1,1,1,1,1,1,1,3,3,3,4,5,3,3,3,1,1,1,1,1,1,3,1,2,1,2,1,0,1,0,0,Proving if the study that atheists will outweigh believers by the 2040's is true by polling millenials.,999,2018-06-07-01-34,999,999
1,2,0,1.340362432,4,6,18,1,11,3,1,23,1,3,6,11,3,1,1,1,2,1,3,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,2,4,3,3,4,3,2,3,2,54,32,24,1,1,1,1,not sure,2,2018-06-12-19-30,2018-06-12-19-35,5
2,2,0,3.576208269,1,15,18,2,9,9,2,23,2,3,5,2,3,3,5,1,2,4,1,1,1,3,3,2,2,3,2,3,3,3,3,3,3,3,2,4,3,2,2,4,4,4,2,50,50,50,0,1,0,0,I don't have enough data to determine the purpose of this study.,1,2018-06-07-19-13,2018-06-07-19-23,10
2,2,0,-11.61646599,1,12,21,2,12,13,1,23,2,5,9,2,2,1,5,1,2,2,1,1,1,2,2,2,2,2,2,3,2,2,5,3,2,3,1,2,1,1,1,3,1,1,2,3,3,4,0,1,0,0,Perceptions of religion in this country.,5,2018-05-29-19-52,2018-05-29-19-56,4
2,1,0,-10.25087337,3,12,14,2,12,12,1,24,6,2,8,1,2,3,5,1,2,3,1,1,1,1,1,2,2,3,3,3,3,3,3,1,2,2,1,2,1,1,2,1,1,1,2,28,27,24,0,1,1,1,How people feel about current events.,3,2018-06-07-19-20,2018-06-07-19-32,12
2,2,0,0.06870569183,2,11,21,2,7,6,1,24,1,5,7,1,3,1,5,1,2,1,1,1,1,1,1,1,1,3,4,3,1,2,5,3,1,3,1,2,1,2,4,4,2,4,2,55,55,55,1,1,0,0,How I feel about religion and the importance of it disappearing,2,2018-06-07-01-33,2018-06-07-01-40,7
2,1,0,-3.723366061,1,8,16,2,14,14,2,24,6,5,9,2,2,1,5,1,2,1,1,1,1,1,1,1,1,1,3,3,1,4,2,3,1,3,5,3,1,1,2,1,2,4,2,18,13,38,0,1,0,0,I think the purpose of this study was to correlate a person's religious views to that of political and parenting views.,4,2018-06-22-03-38,2018-06-22-03-43,5
1,2,0,-7.915640848,1,16,12,1,5,11,2,24,1,9,7,1,3,5,5,1,1,4,1,6,2,1,1,4,3,3,4,3,4,3,2,2,2,1,1,4,1,1,2,2,3,1,2,10,10,10,0,1,0,0,How do religious vs. non religious people view raising children?,2,2018-06-03-05-11,2018-06-03-05-20,9
2,2,0,-7.716275965,1,6,25,2,16,16,1,24,1,11,9,2,2,1,5,1,2,3,1,1,1,1,1,1,1,1,1,3,1,1,5,3,4,3,1,3,1,2,1,3,2,2,2,14,9,11,0,1,0,0,"I think this survey was about how people's religious beliefs connect with their beliefs about other topics, such as social concerns or parenting.",3,2018-05-30-18-16,2018-05-30-18-31,15
1,2,0,0.6437303001,1,13,28,2,10,5,1,25,3,1,9,11,4,1,5,1,2,1,2,2,1,1,1,2,2,3,4,3,1,1,5,5,3,5,1,4,1,1,2,2,2,2,2,96,98,95,0,0,0,1,Comparing religious views to social views.,5,2018-06-21-19-39,2018-06-21-19-50,11
2,1,0,4.274120461,1,16,20,2,2,8,2,25,1,2,5,2,1,1,5,1,1,6,5,6,6,5,1,3,3,3,1,3,2,5,5,2,3,5,1,3,1,4,5,2,2,2,2,96,98,100,0,0,0,1,im not sure what the study is about.,5,2018-05-30-16-13,2018-05-30-16-17,4
2,2,0,-5.283851651,3,16,13,2,9,9,1,25,6,4,7,1,3,5,5,1,2,5,1,1,1,2,2,3,3,3,3,3,3,4,3,2,1,2,1,2,1,1,1,2,3,3,2,45,40,50,1,1,1,0,This study may examine the relationship between one's religious affiliation and their attitudes towards the government,2,2018-06-12-19-47,2018-06-12-19-54,7
1,1,0,-2.219834293,1,18,16,2,10,9,2,25,6,12,9,11,1,1,5,1,1,8,3,4,1,3,3,3,3,3,3,3,2,4,2,3,2,3,2,2,3,2,2,2,2,3,2,52,32,57,0,1,0,0,study attitudes towards religious beliefs.,3,2018-06-22-03-39,2018-06-22-03-43,4
2,2,0,-11.75139421,1,6,22,2,14,14,2,26,6,2,9,2,2,1,5,1,2,1,1,1,1,1,1,1,1,1,1,3,2,2,5,3,3,3,1,4,1,1,1,1,1,1,2,1,1,1,0,1,0,0,"On people's religion and their reaction to the growing secular population, as well as their beliefs on political/parenting practices.",4,2018-06-21-23-32,2018-06-21-23-37,5
2,1,0,-4.084511321,1,18,21,2,11,13,2,26,1,3,9,3,2,1,5,1,1,11,3,1,1,3,3,3,3,3,3,3,2,2,4,3,3,3,3,3,1,2,3,3,2,2,2,22,5,31,0,1,0,0,A look at where people are when it comes to religion nowadays.,2,2018-06-09-16-42,2018-06-09-16-52,10
2,1,0,5.960756538,3,26,19,1,13,14,2,26,1,3,9,9,2,4,5,1,1,14,5,4,5,4,5,4,5,4,4,3,1,2,2,2,2,4,4,4,4,4,4,4,4,5,2,18,26,1,0,1,1,1,qus 1 : how to believe and feel god and religious?~~~~qus 2 : how to manage our children's carrier and habits and behaviours?~~,6,2018-06-09-06-21,2018-06-09-06-33,12
2,2,0,-9.167297039,1,6,19,2,16,16,1,26,1,4,6,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,3,5,4,5,3,3,1,1,1,1,1,1,1,5,2,25,1,40,0,1,0,0,PERCEPTIONS OF RELIGION,3,2018-05-30-19-42,2018-05-30-19-47,5
