variable,label,value_labels,scale,subscale,Keying,links
threat_condition,Threat Condition,1. Non-Religous Threat 2. Religious Threat,NA,NA,NA,NA
source_condition,Study Source,1. Secular Source 2. Religious Source,NA,NA,NA,NA
christian,Christian vs. Non-Christian,1. Think About Article 2. Think About Mundane Event,NA,NA,NA,NA
conservative_political_beliefs_normalized,Conservative Political Attitudes - Total Score - Normalized,0. Non-Christian 1. Christian,NA,NA,NA,NA
authoritarian_answers_total,Authoritarian Parenting Preferences - Total Score,numeric,NA,NA,NA,NA
religious_beliefs_total,Religious Beliefs - Total Score,numeric,NA,NA,NA,NA
religious_evaluative_bias_total,Religious Evaluative Bias - Total Score,numeric,NA,NA,NA,NA
threatened,Results in report were seen as concerning,1. Threatened 2. Not Threatened,NA,NA,NA,NA
article_quality,Article Quality,1. -8 Very Poorly Done 2. -7 3. -6 4. -5 5. -4 6. -3 7. -2 8. -1 9. 1 10. 2 11. 3 12. 4 13. 5 14. 6 15. 7 16. 8 Very Well Done,NA,NA,NA,NA
article_convinvingness,Article Convincingness,1. -8 Completely Unconvincing 2. -7 3. -6 4. -5 5. -4 6. -3 7. -2 8. -1 9. 1 10. 2 11. 3 12. 4 13. 5 14. 6 15. 7 16. 8 Completely convincing,NA,NA,NA,NA
gender,What is your gender? (Pre-condition Demographics),0. Other 1. Male 2. Female,Demographics,NA,NA,NA
age,What is your age? (Pre-condition Demographics),numeric,Demographics,NA,NA,NA
employment,What is your employment status? (Pre-condition Demographics),1. Employed for wages 2. Self-employed 3. Out of work and looking for work 4. Out of work but not currently looking for work 5. A homemaker 6. A student 7. Retired 8. Unable to work,Demographics,NA,NA,NA
income,What is your total household income? (Pre-condition Demographics),"1. Less than $10,000 2. $10,000 to $19,999 3. $20,000 to $29,999 4. $30,000 to $39,999 5. $40,000 to $49,999 6. $50,000 to $59,999 7. $60,000 to $69,999 8. $70,000 to $79,999 9. $80,000 to $89,999 10. $90,000 to $99,999 11. $100,000 to $149,999 12. $150,000 or more",Demographics,NA,NA,NA
