start_date,end_date,duration,gender,age,employment,income,education,religious_affiliation,religious_identity_1,religious_identity_2,religious_identity_3,religious_identity_4,political_party,political_party_other,ethnicity,ethnicity_other,marital_status,sexual_orientation,condition_threat,video_first_click,video_last_click,video_page_submit,video_click_count,what_was_the_message,accuracy_of_information,message_threatening_to_me,believe_the_message,right_wing_authoritarianism_1,right_wing_authoritarianism_2,right_wing_authoritarianism_3,right_wing_authoritarianism_4,right_wing_authoritarianism_5,right_wing_authoritarianism_6,right_wing_authoritarianism_7,right_wing_authoritarianism_8,right_wing_authoritarianism_9,right_wing_authoritarianism_10,right_wing_authoritarianism_11,right_wing_authoritarianism_12,right_wing_authoritarianism_13,right_wing_authoritarianism_14,right_wing_authoritarianism_15,right_wing_authoritarianism_16,right_wing_authoritarianism_17,right_wing_authoritarianism_18,authoritarian_parenting_preferences_1,authoritarian_parenting_preferences_2,authoritarian_parenting_preferences_3,authoritarian_parenting_preferences_4,authoritarian_parenting_preferences_5,political_dispositions_1,political_dispositions_2,political_dispositions_3,political_dispositions_4,political_dispositions_5,political_dispositions_6,political_attitudes_1,political_attitudes_2,political_attitudes_3,political_attitudes_4,political_attitudes_5,political_attitudes_6,political_attitudes_7,political_attitudes_8,political_attitudes_9,political_attitudes_10,political_attitudes_11,political_attitudes_12,political_attitudes_13,political_attitudes_14,told_to_continue,puzzles_that_were_completed,condition_tangram,read_and_understood_instructions,tangram_choice_1,tangram_choice_2,tangram_choice_3,tangram_choice_4,tangram_choice_5,tangram_choice_6,tangram_choice_7,tangram_choice_8,tangram_choice_9,tangram_choice_10,tangram_choice_11,purpose_of_study,additional_guess,which_group_iv,conservative_political_attitudes_total_normalized,religious_identity,right_wing_authoritarianism_total,authoritarian_parenting_preferences_total,status_quo_conservatism_total,laissez_faire_conservatism_total,tangram_task_difficulty
1/22/2019 15:02,1/22/2019 15:23,1248,2,18,1,2,7,11,3,5,3,4,4,Just doing my thing,6,Mixed,5,3,1,6.01E-154,6.01E-154,6.01E-154,6.01E-154,Hurricane is coming,9,8,8,7,3,9,7,5,7,8,6,3,7,4,8,5,2,5,4,7,6,0,0,0,0,0,1,0,0,1,0,2,4,3,5,6,4,5,2,7,6,4,5,30,39,37,1,1,3,2,8,9,11,12,15,17,18,19,22,25,29,Authority and Mental Competence?,I am not aware,LGBTQ+,-4.926682109,19,68,0,1,3,1
1/23/2019 10:00,1/23/2019 11:00,3593,1,21,1,1,7,5,1,7,1,6,3,,1,,5,1,1,6.01E-154,6.01E-154,6.01E-154,6.01E-154,Hurricane Irma,6,8,7,3,7,1,9,8,6,5,6,8,1,9,1,7,4,6,4,7,3,1,1,0,1,1,1,1,1,1,1,1,2,5,2,2,5,6,4,4,1,5,6,70,75,80,1,,1,1,1,3,5,10,12,14,18,19,21,23,30,To determine how religious beliefs reflects political and social beliefs,To determine honesty with being able to solve the ISI puzzles,Christian,6.053869036,27,113,4,2,4,-1
1/23/2019 11:00,1/23/2019 11:25,1481,1,20,6,1,7,5,3,3,3,5,3,,1,,5,1,3,4.214,163.341,163.944,2,Hypocrisy exists regarding religious beliefs within the left side of political affairs,7,6,6,3,6,4,6,4,7,6,3,2,4,5,7,4,6,4,9,3,6,0,0,0,1,1,1,1,1,1,0,1,2,5,2,6,6,7,2,2,3,1,6,65,35,65,1,1,3,2,4,6,7,9,10,14,15,18,20,25,28,"first part - to reflect on mass media and how personal values affect how we view the world and our government function around us, second part- to take into consideration the difficulties of a certain task before assinging that particular task to another group","I definitely think thorough reflection of how personal values affects how we see the rest of the world and goes on was a big part of the first part of the experiment, for the second part, I took it as determining how others should be tested after testing yourself. I am sure the experiment for the second part was attempting to identify any patterns of possible bias or stereotype of the participant through which puzzles they thought the LGBTQ community could complete or how ""intelligent"" this population is",LGBTQ,2.756353582,18,90,2,2,3,-3
1/23/2019 11:25,1/25/2019 12:05,175163,1,19,6,11,6,5,3,5,3,5,2,,1,,5,4,2,0,0,137.231,0,to inform viewers of the decline in christianity in america,8,1,8,3,1,5,4,5,5,6,3,3,5,3,7,6,4,6,6,6,5,0,0,1,0,0,1,1,0,1,0,2,3,4,6,6,2,6,2,6,6,5,3,25,15,20,1,1,3,1,1,3,6,10,11,13,16,20,21,23,26,1-to get an understanding on peoples religious/ politcal views 2- to see if their religous views affected if they picked easier/harder ones based on if they were christian,to see peoples religous and politcal views and how it affected what puzzle peices they chose to give to the christain group,no idea,-9.899669758,20,75,1,2,3,-1
1/23/2019 12:30,1/23/2019 12:49,1151,1,19,1,6,7,6,4,5,3,4,1,,4,,5,1,2,0,0,137.55,0,The message is that Christianity is at a steep decline.,9,1,9,6,5,6,8,4,6,6,4,3,4,9,9,6,6,4,5,1,6,1,1,1,1,1,0,0,1,1,1,-1,4,4,6,4,4,4,3,4,6,3,4,50,50,50,1,,1,1,1,2,3,4,5,6,7,8,9,10,14,n/a,im not sure..,athiest,2.673972273,18,91,5,0,2,-10
1/23/2019 12:53,1/23/2019 13:26,1969,1,19,1,2,7,5,3,5,2,5,1,,1,,5,1,1,6.01E-154,6.01E-154,6.01E-154,6.01E-154,To inform people in the area about the major storm that is coming their way very soon.,9,2,11,2,7,1,6,6,7,9,1,1,4,3,8,4,6,6,7,4,7,0,0,0,0,1,1,1,1,1,1,1,7,5,3,7,6,5,3,7,5,2,5,55,65,50,1,1,3,1,3,8,11,12,14,16,18,20,21,26,30,I believe that the first experiments purpose was to see how informed we felt when we listen to the new and weather we think things are true. I think the purpose of the second experiment was to see how we view different people and their skills. Also when looking at the puzzles what shapes we thought the certain groups would enjoy more than others.,I believe the told purposes were true but I also though that the second experiment had a different and deeper meaning than what was said. It was interesting to respond to.,LGBTQ people,3.087179516,21,88,1,2,4,1
1/23/2019 13:26,1/23/2019 13:56,1768,2,19,6,8,7,5,3,5,3,7,2,,3,,5,1,3,0,0,158.476,0,"The left is not held accountable when they ""attack"" christian views or the right.",2,3,2,8,3,9,3,3,8,9,1,3,5,5,5,4,4,7,2,7,3,0,0,0,0,0,0,0,1,1,0,1,5,1,5,5,5,2,1,5,6,2,4,15,10,20,1,1,1,1,1,4,5,6,9,11,14,18,19,20,24,To test how much a partcipant valued their religion in a political view while testing the spatial intelligence of the indiviual.,"To test how much I valued ""traditional"" eurocentric christianity in a political landscape.",athiests,-2.855729121,22,60,0,0,3,-4
1/23/2019 14:01,1/23/2019 14:26,1506,1,20,1,1,7,1,1,4,1,7,2,,1,,5,3,3,162.168,162.168,162.605,1,"It's a biased view (Fox news) analyzing a talk show that is known for left views. While I don't agree with attacking Christians, ans I don't think she should have said that, their point of view on it was very biased and they did not have a counter argument at all from the ""left.""",6,2,6,6,4,6,7,3,7,6,2,1,5,3,9,6,4,6,4,7,2,0,0,0,0,0,1,0,0,1,0,1,6,1,7,7,2,6,2,7,7,3,5,10,20,0,1,"1,2",2,1,4,7,8,10,12,13,15,18,20,28,29,To see if after showing a clip that would either make us relate or not relate to Christians would change our answers to what we selected as ISI pictures. Possibly giving others who identify as Christians the task to choose ISI pictures for liberals.,---,Christians,-9.111939709,25,64,0,1,2,-2
1/23/2019 14:26,1/23/2019 14:57,1888,1,18,6,8,6,6,5,6,4,5,2,,3,,5,1,2,0,0,140.635,0,It showed that younger people are starting not to believe in their faith anymore and they are choosing to go their own routes.,8,2,8,7,4,6,6,2,5,6,3,2,5,2,4,8,5,5,4,5,4,1,0,0,1,0,0,0,0,1,0,-1,5,4,6,6,2,4,4,6,6,4,4,30,1,29,1,"1,2",3,1,1,2,3,5,6,7,9,18,20,21,28,to understand that relion does not have a big difference on your life,religion and how it occurs in your life versus somebody elses,Christians,-4.27556931,18,72,2,0,0,-5
1/23/2019 14:58,1/23/2019 15:42,2660,1,21,1,1,7,5,1,6,1,5,2,,3,,5,1,1,6.01E-154,6.01E-154,6.01E-154,6.01E-154,That there was a big storm coming so they were warning the people about it,11,4,11,7,4,2,3,2,7,7,5,8,8,6,5,6,8,8,3,7,3,0,1,0,0,1,1,1,0,1,0,-1,7,3,6,7,5,6,5,6,7,1,7,92,91,92,1,1,2,1,3,4,5,8,10,11,13,14,16,23,26,how my religous beliefs/social beliefs may affect how I feel about others,My beliefs reflecting on my religous groups and things I value,11,9.517995362,25,80,2,2,0,-3
1/23/2019 15:42,1/23/2019 16:05,1351,1,19,6,9,7,1,6,2,6,2,3,,1,,5,1,1,6.01E-154,6.01E-154,6.01E-154,6.01E-154,There's a Hurricane heading toward the coast of Florida and it is fairly dangerous as it could be category 4.,8,1,10,3,4,6,4,6,6,7,6,1,4,6,8,8,6,8,4,6,6,1,0,0,0,1,1,0,1,1,1,2,7,6,6,5,6,2,3,2,6,1,2,70,30,90,1,"1,2",1,1,1,2,3,4,5,6,7,8,11,15,18,Spatial Intelligence based on bias from the media or political,no,LGBTQ,11.30385672,8,81,2,1,5,-8
1/23/2019 16:06,1/23/2019 16:35,1748,1,18,6,7,6,6,3,5,6,4,2,,1,,5,1,3,0,0,160.071,0,Women on a talk show said that the vice president may have mental issues because he said that jesus talked to him.,8,6,7,6,1,3,7,2,7,8,6,1,5,6,9,7,7,7,6,4,5,1,0,1,0,1,1,1,0,1,0,2,5,5,7,7,4,5,1,5,7,6,7,35,20,45,1,2,1,1,3,4,6,7,9,12,15,18,20,22,28,Testing a new idea,no,Many questions about religion and my personal beliefs,-2.498545245,16,76,3,2,3,-3
1/23/2019 16:35,1/23/2019 16:54,1166,1,28,6,2,7,2,6,2,6,2,3,,1,,5,1,2,0,0,137.375,0,"that faith, especially christianity, has declined in people.",10,1,10,7,2,8,3,2,8,8,2,1,7,3,8,8,3,6,3,4,3,0,0,0,0,0,1,0,0,1,0,1,7,5,7,7,2,4,3,7,7,4,6,22,21,24,1,"1,2",2,1,1,6,10,12,13,15,17,18,19,21,28,how views have changed politically over time,no,lgbtq,-2.229671146,8,51,0,1,2,-1
1/23/2019 16:56,1/23/2019 17:23,1636,1,20,1,2,7,5,5,5,3,5,1,,1,,5,1,3,0,0,157.677,0,be curtious of others beliefs,10,1,8,2,7,4,8,6,5,8,7,5,7,7,8,2,8,2,9,2,7,0,0,1,1,1,1,1,1,1,1,2,5,7,2,4,7,4,7,3,5,1,5,88,90,89,1,"1,2",3,1,1,4,6,8,11,12,13,15,20,28,30,spatial recognition and political involvement,collect political views,christian,14.92353128,18,107,3,2,5,-2
1/24/2019 13:59,1/24/2019 14:29,1812,1,20,6,11,7,5,2,5,4,5,2,,1,,5,1,1,6.01E-154,6.01E-154,6.01E-154,6.01E-154,A warning and update to residents about the severity of the hurricane,8,1,7,7,3,5,2,1,6,9,2,2,8,4,9,8,2,7,6,6,2,0,0,0,0,0,0,0,0,1,0,1,4,2,6,7,3,7,5,2,7,2,6,50,37,60,1,"1,2",2,2,1,4,6,8,10,12,14,15,18,21,29,"To asses views on current events based on personality, then to see how personality traits relate to choosing difficulty of task for a group with different beliefs.",Not much. I believe social and economic political views will come in to play in analyzing the answers of each participant. I did not expect those to be included,Atheists,0.2083341399,20,50,0,0,2,-3
1/24/2019 14:33,1/24/2019 15:05,1967,1,20,6,9,8,5,3,7,1,6,2,,3,,5,1,2,5.461,141.029,141.808,2,The Christian faith is losing more members than they're gaining,5,6,5,4,6,6,8,7,6,6,4,9,3,6,8,7,7,4,4,4,3,1,0,0,0,1,0,0,0,1,0,1,6,3,7,2,2,7,3,7,5,1,7,30,30,45,1,1,3,1,5,8,9,11,12,14,18,25,28,29,30,I believe the purpose of the first experiment was to get my opinion on current events. The second was to test my experience with ISI to see how I would select others to do it.,"No, I didn't really understand the second experiment",LGBTQ,2.375294709,25,96,2,0,2,1
1/24/2019 15:28,1/24/2019 16:01,1955,1,20,6,1,7,5,2,6,2,5,1,,1,,5,1,3,0,0,163.915,0,I think the news clip informed the public about what was said on the view and then the pastor stated that if it was anyother religion being attacked that people would have thrown a fit.,9,3,9,3,4,3,3,4,3,7,5,5,4,4,7,6,4,4,4,5,5,0,0,0,1,0,1,1,1,1,0,1,3,3,5,6,3,4,2,4,3,5,4,60,45,60,1,,1,1,1,7,8,10,11,12,14,19,27,28,29,I believe this experiment was to view how people take challeneges. Depending on how they did in the physical part of the experiment can affect what kind of puzzles they would choose for others to participate in.,No,Christians,-0.8556560928,23,86,1,2,3,-1
1/24/2019 16:18,1/24/2019 16:44,1540,1,18,1,12,6,6,5,4,2,5,2,,1,,5,1,2,0,0,141.65,0,to show how people are losing faith and how it could possible affected future generations,5,6,7,5,3,6,7,4,7,8,7,2,5,6,8,7,2,5,5,6,3,0,0,0,0,1,1,1,1,1,0,1,6,1,2,4,2,5,6,4,4,1,6,60,50,75,1,,2,1,1,5,6,8,12,13,15,18,19,25,28,to see where we stand on evryday issues and to see how informed we as students stay on current events,to kind of see how i make decsions based on my views and family background,christain,4.905971172,18,72,1,2,3,-2
1/24/2019 16:47,1/24/2019 17:09,1309,1,20,6,8,7,11,7,4,7,4,2,,3,,5,1,1,6.01E-154,6.01E-154,6.01E-154,6.01E-154,"People in Florida should take caution, and get prepared",9,3,10,7,7,8,8,5,9,9,5,5,2,5,6,5,2,1,7,5,9,0,1,0,1,1,1,0,1,1,1,2,7,5,7,4,7,6,5,5,7,4,4,50,50,55,1,"1,2",3,1,1,2,3,4,5,6,7,8,9,10,11,memorizing shapes,no,11,5.65666252,10,85,3,1,5,-10
1/24/2019 17:23,1/24/2019 17:43,1233,1,21,6,11,7,11,2,6,6,6,2,,3,,5,1,2,0,0,141.1,0,The number of religious affiliated people are declining,7,4,6,3,4,5,6,5,6,5,5,3,7,4,5,6,4,6,5,8,6,0,0,0,0,0,1,1,0,1,0,2,6,3,6,7,2,7,5,5,7,3,6,40,20,40,1,"1,2",1,1,4,5,6,9,10,11,16,18,23,27,30,To compare my spatial abilities with my liberalism or conservatism,No,LGBQT people,-2.812010126,20,82,0,2,3,-2
