id,iv1_write,iv1_text,iv2_threat,comprehension_question,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,crt_naive,nfc_1,nfc_2,nfc_3,nfc_4,nfc_5,nfc_6,nfc_7,nfc_8,nfc_9,nfc_10,nfc_11,nfc_12,nfc_13,nfc_14,nfc_15,nfc_16,nfc_17,nfc_18,fii_1,fii_2,fii_3,fii_4,fii_5,fii_6,fii_7,fii_8,fii_9,fii_10,fii_11,fii_12,reaction_time_crt_1,reaction_time_crt_2,reaction_time_crt_3,reaction_time_crt_4,reaction_time_crt_5,reaction_time_crt_6,reaction_time_crt_7,nfc_fii_naive,age,gender,god_belief,certain_of_god_belief,prayer_frequency,prayer_duration,religious_attendance,religious_affiliation,previous_knowledge,purpose_guess,purpose_guess_certainty,start_time,end_time,nfc_total,fii_total,crt_total
1,2,Every day I wake up and listen to positive affirmations in the morning. Then I get up and wash my face and brush my teeth. Then I eat some breakfast. After that go online and check all my social media accounts.,1,2,0.05,5,25,6,29,10,2,2,3,5,1,3,3,3,1,3,3,5,5,1,3,5,3,3,3,3,5,3,3,5,5,3,5,5,3,5,5,5,10167,2609,4197,6155,7005,6761,4410,2,29,2,1,7,5,3,1,none,none,don't know,1,2017-05-23-22-48,2017-05-23-22-58,65,52,3
2,2,"I sleep just about every day. There are very few days where I do not sleep. This everyday experience of sleeping helps describe an average day in my life, because it's one of the mainstays of an average day. When I sleep I go to bed. I then lay down. I then lose consciousness. That's how I sleep.",2,2,0.05,5,47,4,29,20,3,1,4,5,1,2,1,4,1,2,1,5,5,1,4,5,5,1,2,4,4,2,4,2,4,3,3,3,4,5,3,5,4565,2327,6195,3261,4257,17476,8405,2,35,1,0,7,1,1,1,none,nothing,I have no idea.,1,2017-05-23-21-05,2017-05-23-21-15,79,42,7
3,1,"Well, this would be an experience that convinced me that I was NOT spiritual.  My mother was dying, and she was all tangled up in trying to 'get right with God', and trying to have all her spiritual ducks in a row, so to speak.  And I realized that if God would care if a dying woman had gotten everything 'right', if he would turn her away from heaven if she hadn't 'checked all the boxes', then that was a god that I wanted NO part of.  And so I began thinking.  And I thought - every people group in the world, for all of human history, has usually had some belief system - some deity or other.  What makes this ONE belief system, this ONE god (christianity, jesus, etc) the RIGHT one?  Doesn't it make more sense that ALL of them are wrong?  I mean - how arrogant.  And then I considered how so many of the religious stories and beliefs are based on earlier stories and beliefs from other people groups, and I realized....humans tell stories.  That's what makes us human.  But it doesn't make the stories we tell *factual*.  So - there is no God.  There is no reason other than tribalism to go killing each other around the globe for this shit.  And shouldn't we have evolved past blind tribalism by now?  I'm doing my part to evolve, by flushing religion and religious beliefs.  And that's how I became convinced of what I believe.",1,2,5,5,47,4,29,10,3,1,1,5,4,4,4,1,4,4,4,1,1,3,1,2,2,4,2,3,4,4,4,4,4,4,4,4,3,4,3,4,7997,3016,3541,12862,4517,3924,9351,1,43,2,0,7,1,1,1,atheist,"Um...nothing?  Because I hadn't done it before?  Except the standard scales, etc, but I didn't know which ones you'd be using.  And I answered one of the last questions wrong, because I mistakenly read a 'don't' in the question.  Sorry.","You tell me, research is your job, not mine.",1,2017-05-23-20-38,2017-05-23-20-49,35,46,6
4,2,"Recently, I submitted the wrong hit on mturk. The requester had two hits. I accepted both but was unqualified for one. I submitted the survey code in the wrong hit.. The requester denied my submission but reversed it after I contacted her.",1,2,0.05,5,47,3,31,30,2,1,2,4,2,2,2,4,2,2,2,4,4,2,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,6006,201784,6867,25007,19996,32198,4265,1,55,2,1,3,2,11,2,pagan/catholic,just that it was about writing,it has something to do with religious beliefs. how religious beliefs correspond to <?>,2,2017-05-23-21-29,2017-05-23-21-52,60,48,3
5,2,I typically start out my day by sitting down at my computer with a cup of coffee. I like to check out my emails. I will then move on to facebook. I will check for any messages. I will respond if I have any. I will also scan the feed for any interesting news stories and respond to those if I like. Then I will move onto some news sites. I might spend a good deal of time reading there. I will also comment if something strikes me that I feel like commenting on. I will then check for work to do on my computer and begin working. I spend most of my day at the computer doing these various things.,1,2,0.1,5 minutes,47 days,4 days,15,$10,3,1,4,4,2,2,2,4,2,4,2,4,4,2,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,2,4,7826,9541,8243,59023,12778,36226,22536,1,57,1,1,2,2,3,1,none,nothing,I don't know what he purpose of the study is.,1,2017-05-23-20-42,2017-05-23-20-54,66,46,4
6,2,"During a typical day in my life, I wake up and pray. Then I get my workout clothes on and go for a 30 minute run. I come back home and get on my computer to work for the day. Sometimes I work on Mturk, but most times I work for my employer. I usually skip breakfast, unless Im really hungry. Around 2pm in the afternoon, I get lunch, which is usually, a salad or a low calorie meal. Then I go back to work. Around 7pm  stop working and relax for teh day. Sometimes I play video games, sometimes I sit and just think about whatever is om my mind.",2,2,1.05,5,47,4,29,20,1,2,3,3,2,1,1,2,2,5,4,5,4,2,2,4,1,2,1,1,3,4,2,4,4,4,2,4,4,4,4,4,12397,4035,5329,171778,8738,36345,17620,2,34,2,1,7,5,8,6,christian,nothing,To see what people know.,2,2017-05-23-22-45,2017-05-23-23-25,58,43,5
7,1,I would say that a lack of a spiritual experience is a whole series of moments in which my spiritual beliefs were confirmed for me. I am not spiritual or religious and I have had neither a spiritual or religious experience. I am quite fine with that as I have no desire to be religious.,1,2,0.05,5,47,6,29,10,2,2,4,3,3,4,4,3,2,4,3,3,4,5,4,4,3,5,3,4,4,5,5,5,4,5,4,5,4,4,5,4,6453,4123,6247,12752,6006,10337,6760,2,33,2,0,7,1,1,1,na,na,I have no idea,2,2017-05-23-20-14,2017-05-23-20-25,49,54,4
8,2,"An ordinary, everyday event is that I go to the park once a week with my husband. We live near a city where there is a really big city where people like to walk around and so we try to go on walks together at least once a week to that place. Afterwards, or sometimes before, we like to grab lunch or dinner depending on what time it is. There are many different restaurants to choose from, but his favorite place is one that sells crepes and poutine. He really loves poutine because he says it reminds him of our honeymoon in Montreal. We'll probably go there and then there's a small gelato place that is not too far from the park that he always loves to visit because we're both big fans of gelato.",2,2,5,5,47,4,29,20,3,2,4,5,1,1,2,4,2,3,2,5,5,1,4,5,4,2,1,5,4,4,4,4,4,4,4,4,4,5,5,5,106140,1744,2929,2870,3292,2791,2286,2,25,2,1,5,2,5,2,Wiccan,I'm honestly not sure.,I think that the purpose may have been to see what people are like and test their personalities. I'm honestly not sure.,2,2017-05-23-20-52,2017-05-23-21-08,75,51,7
9,2,"I like to run on the treadmill. I run mostly 5k almost daily, and walk two miles. I find that this helps with my anxiety and depression and my overall well being. When I skip a couple days I begin to start feeling more anxious and restless. I don't get out of the house that much, but am starting to more. I often am scared but am not sure why. This troubles me and I try and not think about it much. I just can't quit thinking about it. I like to read a lot also it helps me chill the fuck out. I am currently seeing a therapist and working on all these things.",1,2,0.1,4,24,5,15,0,1,1,4,4,2,1,4,5,5,5,1,5,5,1,4,5,5,2,1,5,5,5,5,5,5,4,5,5,2,5,4,5,10324,10022,11118,17134,11178,36114,17275,1,33,1,0,7,1,1,1,Agnostic,Nothing at all.,A study of personality?,4,2017-05-23-20-41,2017-05-23-20-54,69,55,0
10,2,it would be walking everyday for one hour to help me lose weight,1,2,10,100,24,8,1,10,2,2,3,2,4,4,4,4,4,4,2,4,4,2,4,4,2,3,2,4,2,4,3,2,4,4,4,2,2,4,2,4,3046,3132,3343,6175,5904,5580,21369,2,26,1,1,6,5,5,4,christain,nothing,it was about poelps opinions,5,2017-05-24-01-01,2017-05-24-01-14,52,37,0
11,2,"My interest in Aviation began a long time ago. I was a small child; and I was already looking at the sky. The atmosphere always interested me. On day I was digging in a sand box trying to build castle form sand; my mom was yelling â€œson come home quickly itâ€™s time for you to go to bedâ€, and then it suddenly happened. This moment onward had changed my view on life. Everyone heard a loud noise, including me; but I didnâ€™t know what this noise was. I asked my mother and she told me that was a military jet. I never heard a noise like this. I looked upwards at the sky and I seen this military jet flying low to the houses. This jet was producing this sound. At this age I didnâ€™t know that the jet was making this noise; but the simple fact that something like that exists fascinated me. I was intrigued by this event. Airplanes suddenly became very important in my life, and interesting. I began to think about this event more and more.One day I decided to talk to my parents. I told them that I want some books about aviation. I began to expand my aviation knowledge. I simply wanted to know everything about aviation, and how these intricate machines fly in the air. Learning about aviation s",1,2,0.1,100,48,12,15,10,1,1,3,4,2,3,4,3,4,3,2,2,2,4,2,3,2,2,2,4,3,4,2,2,4,4,2,4,3,2,4,2,5733,2939,72708,2879,10817,10616,4547,2,33,1,1,1,2,2,5,christian,none,decisions,2,2017-05-24-00-56,2017-05-24-01-09,49,36,0
12,2,An experience that describes my everyday life is interacting with others at work. It can go well sometimes or be uncomfortable at other times. The monotonous nature of talking all day leads tho this. One experience I had was sitting with someone for over an hour. The conversation dragged on and was often at a loss for words. I have a hard time continuing small talk because I find it boring.,2,1,5,5,47,6,30,10,1,2,2,2,1,4,1,4,2,2,2,2,4,5,1,2,2,5,1,2,2,4,4,4,2,4,1,2,2,2,4,1,2591,3476,4264,3950,5612,3988,1942,2,29,1,1,3,4,2,4,catholic,nothing,I think it was a personality study,3,2017-05-24-00-29,2017-05-24-00-44,50,32,3
13,2,"In my daily life, i take yoga and medication for my good activity in that day. I went to my finish work for as a paid employee in my office. then to leave my office and watch movie with my friend in my house.",1,2,10,5,24,6,0,30,3,2,4,3,5,2,4,3,2,2,1,4,4,1,5,4,1,2,4,1,4,2,2,3,3,4,2,5,3,2,2,4,5296,4553,4721,9784,6558,8721,4326,2,26,1,1,4,2,5,4,Christian,people's opinions,The people's opinions,3,2017-05-24-00-56,2017-05-24-01-07,59,36,3
14,1,I used to meditate a lot before I had kids. I would meditate at least once a day. There have been only a handful of times where I have gone into a trance like state. The feeling is indescribable. It is like the most quiet and peaceful state that you can imagine. This has made me realize that we are all connected and that we are all part of the same consciousness. This is what my spiritual beliefs are. That we are all connected. I wish that everyone could experience this state at least once. I think if everyone would meditate the world would be a much more peaceful place.,1,2,0.1,5,47,12,15,10,2,1,2,2,3,4,4,2,4,2,4,3,2,3,4,5,2,4,4,4,5,5,5,5,5,5,5,4,4,5,3,5,7261,3678,23991,19049,6296,18914,30964,1,29,2,1,7,6,6,2,islam,Nothing,You may have thought that I was Christian and that upon hearing that Christianity is less common that would change my answers to some questions in some way. Just guessing here.,2,2017-05-24-00-42,2017-05-24-01-00,44,56,2
15,1,"I was in a vet office and I suddenly had a spirit come to me and talk to me. It happened in my imagination, but my imagination took a life of its own and it made me realize that everything was derived from my imagination.",2,2,0.1,100,24,12,15,20,1,2,4,2,3,3,4,2,2,3,2,3,4,2,2,2,3,3,2,3,4,3,2,4,3,4,2,3,3,3,4,3,3174,5306,3908,7134,3340,4480,12861,2,27,1,0,2,1,1,4,none,nothing,I am not sure,1,2017-05-24-00-27,2017-05-24-00-37,52,38,1
16,2,"My days are boring. I do MT a few hours a day. The rest of the day is spend applying for jobs online. Sometimes I visit my mom. Now that I'm not working, I seldom have any money to do anything, or buy anything. Bills are piling up, so I need to find a job soon. Sometimes on the weekends I have one of granddaughters for a little while. Sometimes I daydream of moving somewhere where the weather is nicer, seems like it's been raining every day, and that alone gets a tad depressing. I'd like to get out and walk; try to lose some weight & get more fit, but its too dreary out to do that. Someday I hope to be able to move to a warmer climate, the winters are too cold here. I know people that live in Arizona, so part of my days are spent daydreaming bout their weather. It's warm and sunny almost every single day! Thats about it!~~",1,2,0.05,5 minutes,47 days,4 days,29,$15,3,1,1,1,5,4,4,1,4,4,4,1,1,4,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,1,13420,12512,7499,11362,31249,24577,16113,1,55,2,1,6,5,4,1,spiritulsim,you were collecting information on personalities,"I guess maybe you are wondering if people that believe in God (or don't believe), go to church and what their typical day is like.",2,2017-05-24-00-31,2017-05-24-00-47,27,43,5
17,2,An average everyday experience for me starts off with eating a well-balanced meal for breakfast and then getting ready to go to the gym. Once I get to the gym I work out for about an hour and then I come home and make myself some lunch. Once I am done with my lunch I get ready to go to work and then pack another late lunch for later on that day. Once I get to work I begin working for several hours and then call it quits once my work has been completed. I come home and prepare dinner for my spouse and I and we sit around the coffee table and watch our favorite show while we eat.,1,2,0.05,25,27,14,1,10,1,2,3,4,2,4,4,3,3,4,2,5,5,4,4,4,2,4,1,3,3,3,3,2,4,4,4,5,4,4,4,5,4117,2485,2302,5578,56851,26649,7439,2,27,2,1,7,4,4,4,christian,unsure,Probably looking into the opinions of religon.,3,2017-05-24-00-46,2017-05-24-00-59,56,45,1
18,1,"A spiritual experience I've had is when I decided to try to believe in God for a little bit. I was on a road trip with my parents. I was probably around 6 years old. I was staring out the window at the sky and the trees and decided to just start thinking that it was all part of something bigger. I started talking to ""God"" in my head. It felt really trippy. I started to get sucked into it. I felt weird, like I could almost feel like it was real. I was communing with nature and calling that God, basically. Then I made the decision to snap out of it because it was freaking me out. I still didn't believe it was real and was scared of getting into a headspace where I did believe that because it kind of felt cultish. I didn't trust it. I felt like it had the potential to hurt me, like I was giving up my power. I just didn't feel like that was something I wanted to do. Anyway, that whole experience convinced me that I don't want to pretend God exists. I'd rather live in the real world than a fake place in my head. After all, why would I want to live in a fake place in my head? That's just not realistic.",1,2,0.05,5 minutes,47 days,4 days,29,20,3,1,4,2,1,2,1,5,4,2,4,4,5,1,4,5,5,4,4,5,2,2,2,2,1,2,2,4,1,4,2,4,5765,4821,3916,7289,7054,10369,12633,1,25,2,0,7,1,1,2,Jewish,nothing,Do people who write a certain way have certain types of personalities?,3,2017-05-24-01-50,2017-05-24-02-02,65,28,6
19,1,"My first spiritual experience occurred ten years later in the year 2000. My father was dying of cancer that year. Suddenly and inexplicably, I became interested in near-death-experiences, and that interest in NDEs quickly evolved into an interest in all things spiritual. The Internet became my window to a spiritual universe. I found myself on a quest for spiritual knowledge and wisdom that continues to this day.",1,3,0.1,100,24,12,15,30,2,2,4,5,4,5,4,3,3,5,4,5,4,4,4,4,5,4,4,3,4,4,4,3,4,4,3,3,3,4,2,4,96399,6817,6699,22853,446897,65143,13515,2,26,1,1,7,5,11,1,chistian,about my belief,n/a,6,2017-05-24-03-25,2017-05-24-03-48,51,42,0
20,1,I remember when I was very sick I was delirious from a fever and I was thinking that I felt so bad I was going to die from the pain. I ended up having a dream where an angel like figure came to me and healed me. When I woke up the pain was gone and I had to wonder if what I experienced was real in some way.,2,2,0.05,5,47,3,30,20,1,2,2,5,2,4,4,5,4,2,2,4,5,2,4,4,2,5,5,4,4,5,5,5,4,4,2,4,5,4,4,5,3871,3302,2549,5468,3298,7146,21205,2,27,1,1,3,2,5,5,Christian,no,none,2,2017-05-24-03-26,2017-05-24-03-55,55,51,4
21,1,"During Superstorm Sandy, I was sitting on the couch watching a movie with my partner. Even though the walls of our apartment were shaking, and there was a violent rainstorm with thunder and high winds blasting/pounding on the roof, I felt as if nothing bad would happen. We just rode out the storm. I still felt secure. I think it was my belief in something bigger than myself that was protecting me spiritually. You could call it God, if you want.",2,2,5 cents,5,47,9,29,10,3,2,5,5,1,1,1,5,1,1,1,5,5,1,5,5,5,1,1,4,4,4,4,4,4,4,4,3,4,5,4,4,8193,4252,5735,5605,5207,5458,3811,1,51,2,1,5,4,2,4,Catholic,I think it's about personality,I think it's about writing a story about something that challenged beliefs in a higher power and how that challenges your thinking in general.,3,2017-05-24-03-55,2017-05-24-04-09,85,48,5
22,1,"oh when i was in my early 20s i lived with my father in ap lace called Carezo plains in california. It was 69 miles from any town in a valley. I lived in a trailer and was having some hard times dealing with being out their and financial problems. One day i got down on my knees and started praying to god for a sign. Anything would do i didn't care who the sign came or from what but i wanted to know i wasn't just praying to nothing. After the prayer i got up and i heard the sound of a car coming down the road. You could always hear cars from very long distances. I didn't know who it was and wetn to the front gate to great them. It turns out they were a group of jahova witnesses and just wanted to give me a pamplet and let me know that ""god listens to me"". I told them what just happend and they seemed to not think about it much i told them goodbye and never joined the jahavoa witnesses or anything but that was the first time i had a specific spiritual thing and made be beleiver",2,2,0.1,5,47,8,30,30,2,2,2,4,5,2,5,4,4,2,2,5,4,4,3,5,5,4,2,2,4,4,4,5,4,4,4,2,5,5,2,3,5993,3976,5139,13755,6423,8699,29405,2,34,1,0,6,2,7,1,agnostic,it was just a writing survey but it turns out its about beliefs in god,Didn't i just do that? pretty sure the study was about what made people believe in their religious god.,4,2017-05-24-03-57,2017-05-24-04-14,56,46,2
23,2,"During my typical workday, I am responsible for overseeing my teams as they progress on various advertising campaigns. I check in and help them with any issues they may be having such as doing mock-ups or securing rights to songs. I keep in touch with clients, update them on our progress and make sure they are satisfied with the promotional materials. Outline your most common tasks and show the full range of what you are capable of. The hiring manager wants to see that you are both dedicated to your position and committed to working effectively in any situation. This will help you distinguish yourself as the best candidate for the position.~~~~~~",2,2,0.05,5,47,8,30,30,1,2,2,3,3,4,3,2,3,4,4,3,5,2,4,1,2,5,4,4,2,2,5,2,5,2,1,2,2,5,3,2,9646,2056,4709,3230,2433,3208,1821,2,30,1,1,4,3,5,4,Christianity,Nope,It is about our view,6,2017-05-24-03-31,2017-05-24-03-46,44,33,3
24,2,"Wake up, mturk as usual. Then work out, eat, repeat. Nearly every day is like this. Nothing exciting really happens with my life. Just wok",1,2,10,100,24,19,15,20,2,2,1,1,5,2,2,5,4,4,1,5,5,2,4,2,1,2,2,5,4,2,5,2,5,4,2,5,4,4,1,5,3745,7986,7006,8871,6566,58986,10539,2,21,2,0,4,1,1,1,agnostic,Nothing,Asking about all sorts of question. Not sure to be honest.,3,2017-05-24-03-36,2017-05-24-03-46,54,43,1
25,1,"I have spiritual experiences all the time.  I pretty much live in the spirit.  I don't really like to discuss it.  It's really dangerous.  But since you probably don't take it seriously, I listen to people's spirits all the time.  I live in a world of my own, a world of ""coincidence"" where it becomes apparent that everything is truly one.  It's pretty scary and you've got to be careful not to get lost in it.",2,2,0.05,100,47,100,30,20,2,1,1,1,5,5,4,1,5,1,5,5,5,3,1,5,1,5,1,5,3,5,3,2,5,5,5,1,1,5,5,5,4226,5350,4438,33424,5161,52977,56421,1,36,1,1,7,2,2,1,none,I knew it would probably ask me questions.,I think maybe to make experimenters feel better about their work.  Keep it up guys.,2,2017-05-24-03-25,2017-05-24-03-44,40,45,3
26,2,"An everyday experience I have is running late to work. Either my coffee maker will malfunction, I hit snooze too many times, I can't find anything to wear, traffic is crazy, or any combination of these things can make me late to work. It can be hard to be focused, awake, cognizant, and even human in the mornings for me, making any curveballs thrown my way harder to navigate. I will run into work out of breath, embarrassed and flustered, but my coworkers seem pretty used to it - no one says anything to me about it, at least.",1,2,0.1,100,97,9,31,20,2,2,2,2,5,4,4,1,4,5,5,1,3,4,4,2,1,4,4,4,4,5,4,4,3,4,2,5,3,4,2,4,11235,5774,38358,42917,18623,97569,48866,2,27,2,1,5,6,2,2,Episcopalian,I knew it was about story writing and personality,Something about our personality and how we answer hard and easy questions,2,2017-05-24-03-33,2017-05-24-03-49,31,44,1
27,2,"An average day in my life consists of waking up around 6 am. I get my daughter up to get ready for her day. I will make a coffee and drink it before I begin getting ready. Next, I will get ready for work, while my daughter gets ready. I send her on her way, while I go to work for 8 hours. After work, I will sometimes run errands. Once I get home, I will do some household chores, laundry and cook supper. I will also spend some time talking with my daughter about her day. We will all sit down to eat supper, if my son and husband are there, they will also. We will talk about our day and how we are all doing that day. I will clean up supper, do a bit more chores and often go on Mturk. Then, if I have time, I will either play a game with my daughter, watch a show or have some family time. Sometimes, I will read a bit. Then, I will get my daughter to bathe and go to bed. I will take a shower and go to bed around 11 pm.",1,2,10,5,24,9,29,20,2,1,4,4,2,2,2,3,1,2,2,5,4,2,4,5,4,2,2,4,4,4,4,4,4,4,4,4,2,5,3,5,3379,2765,7355,6912,3400,18107,10623,1,39,2,1,7,4,6,3,christianity,nothing,"I am not sure, but I had a technical issue with the survey and it shortened the timer. I thought I had enough time to finish, but was about 1 minute shy, and the hit expired. Th",2,2017-05-24-06-10,2017-05-24-06-28,70,47,3
28,2,"I always stretch and meditate in the morning, I take around fifteen minutes to have a nice stretch so that I can get my blood flowing and my mind sharpened. It gives me a very good foundation to start the day of right. I am able to really get a grasp of how I feel that day. I am also able to get myself in a position where I can become concentrated after a restful sleep. I always try to keep my mood up so that I am able to be productive for the rest of the day.",1,2,0.1,5,24,4,30,20,3,1,5,5,1,2,1,5,1,1,1,5,5,1,1,5,5,1,1,5,5,4,5,5,4,5,4,2,4,5,5,5,7798,6114,8046,8451,6768,4312,9910,1,25,1,1,7,4,8,3,Islam,Nothing.,To assess life situations and religious beliefs.,2,2017-05-24-05-42,2017-05-24-05-53,80,53,4
29,1,"I was sitting in church praying and I asked God for something, and the pastor spoke prophecy over  the thing that I was silently praying about. God wishes to grant us the desires of our heart!",1,2,5,5,47,4,16,10,2,1,3,4,5,4,3,1,5,3,4,2,4,4,1,4,3,3,5,1,4,5,5,5,4,5,4,3,3,5,5,5,6756,4169,22162,4169,5039,26758,17905,1,27,2,1,7,6,7,6,protestant,none,dont know,1,2017-05-24-05-34,2017-05-24-05-46,40,53,4
30,1,"During my typical workday, I am responsible for overseeing my teams as they progress on various advertising campaigns. I check in and help them with any issues they may be having such as doing mock-ups or securing rights to songs. I keep in touch with clients, update them on our progress and make sure they are satisfied with the promotional materials.~~Outline your most common tasks and show the full range of what you are capable of. The hiring manager wants to see that you are both dedicated to your position and committed to working effectively in any situation. This will help you distinguish yourself as the best candidate for the position.",2,1,0.05,5,47,8,30,0,1,2,1,3,3,4,4,5,3,5,5,2,4,2,2,4,5,3,3,4,5,3,2,4,4,4,3,2,4,4,5,5,2918,1849,3002,2784,3353,4625,4609,2,30,1,1,6,4,6,5,Christianity,It is about our view and performance,It is about our view,6,2017-05-24-05-41,2017-05-24-05-54,48,45,3
