variable,label,value_labels,scale,subscale,Keying,links
id,ID Number,numeric,NA,NA,NA,NA
iv1_write,Writing Manipulation,1.Write about an everyday experience 2. Write about a spiritual experience,NA,NA,NA,https://docs.google.com/document/d/e/2PACX-1vQ3SzCWj4twMI2S113bUabp6oewRt4ZQK2o2ZpFdKwIAVPyjfCUO2ekgRCZxhN1rsLjFRV3MScmnFR7/pub
iv1_text,Text from those who wrote about Religious Experience,string,NA,NA,NA,NA
iv2_threat,Threat Manipulation,1. Control 2. Religious Threat,NA,NA,NA,NA
comprehension_question,"According to this paragraph, the rate of acceptance of Christian beliefs (or BMI) within the United States",0. No 1. Yes,NA,NA,NA,NA
crt_1,CRT1: A bat and a ball cost $1.10 in total. The bat costs a dollar more than the ball. How much does the ball cost?,string,Cognitive Reflection Test,NA,NA,NA
crt_2,"CRT2: If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets?",string,Cognitive Reflection Test,NA,NA,NA
crt_3,"CRT3: In a lake, there is a patch of lily pads. Every day, the patch doubles in size. If it takes 48 days for the patch to cover the entire lake, how long would it take for the patch to cover half of the lake?",string,Cognitive Reflection Test,NA,NA,NA
crt_4,"CRT4: If John can drink one barrel of water in 6 days, and Mary can drink one barrel of water in 12 days, how long would it take them to drink one barrel of water together?",string,Cognitive Reflection Test,NA,NA,NA
crt_5,CRT5: Jerry received both the 15th highest and the 15th lowest mark in the class. How many students are in the class?,string,Cognitive Reflection Test,NA,NA,NA
crt_6,"CRT6: A man buys a pig for $60, sells it for $70, buys it back for $80, and sells it finally for $90. How much has he made?",string,Cognitive Reflection Test,NA,NA,NA
crt_7,"CRT7: Simon decided to invest $8,000 in the stock market one day early in 2008. Six months after he invested, on July 17, the stocks he had purchased were down 50%. Fortunately for Simon, from July 17 to October 17, the stocks he had purchased went up 75%",string,Cognitive Reflection Test,NA,NA,NA
crt_naive,Have you ever participated in a study that asked you any of the previous 7 questions?,1. Yes 2. No,NA,NA,NA,NA
nfc_1,I would prefer complex to simple problems.,1. extremely uncharacteristic of me 2. somewhat uncharacteristic of me 3. uncertain 4. somewhat characteristic of me 5. extremely characteristic of me,Need for Cognition Scale,NA,NA,NA
nfc_2,I like to have the responsibility of handling a situation that requires a lot of thinking.,1. extremely uncharacteristic of me 2. somewhat uncharacteristic of me 3. uncertain 4. somewhat characteristic of me 5. extremely characteristic of me,Need for Cognition Scale,NA,NA,NA
nfc_3,Thinking is not my idea of fun.,1. extremely uncharacteristic of me 2. somewhat uncharacteristic of me 3. uncertain 4. somewhat characteristic of me 5. extremely characteristic of me,Need for Cognition Scale,NA,NA,NA
nfc_4,I would rather do something that requires little thought than something that is sure to challenge my thinking abilities.,1. extremely uncharacteristic of me 2. somewhat uncharacteristic of me 3. uncertain 4. somewhat characteristic of me 5. extremely characteristic of me,Need for Cognition Scale,NA,NA,NA
nfc_5,I try to anticipate and avoid situations where there is likely chance I will have to think in depth about something.,1. extremely uncharacteristic of me 2. somewhat uncharacteristic of me 3. uncertain 4. somewhat characteristic of me 5. extremely characteristic of me,Need for Cognition Scale,NA,NA,NA
nfc_6,I find satisfaction in deliberating hard and for long hours.,1. extremely uncharacteristic of me 2. somewhat uncharacteristic of me 3. uncertain 4. somewhat characteristic of me 5. extremely characteristic of me,Need for Cognition Scale,NA,NA,NA
